station_id,station_name,latitude,longitude,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4
260815087254501,Araria,26.1375,87.42916667,3.9,3.95,2.05,3.12,3.68,4.23,2.42,3.3,4.03,4.54,,3.6,5.91,4.5,2.46,3.84,4.87,4.58,3.02,3.33,3.91,5.1,2.8,3.68,,4.6,,3.28,3.6,4.2,2.42,2.9,4.32,4.43,2.58,,3.97,4.07,2.4,3.36,3.14,,,4.98,,,2.29,3.4
262015087150001,Bathnaha_badres,26.3375,87.25,,3.35,,,,3.4,,,,,,,4.56,4.45,,1.37,3.09,,,,,5.73,,,,5.73,1.4,2.45,,3.2,,,,,,,,,,,,,,,,,,
261527087135201,Haripur,26.2575,87.23111111,,,,,,,,,,,,,,,,,2.84,3.2,2.97,1.9,2.6,3.95,1.32,2.39,3.09,2.76,1.5,1.95,3.04,3.23,1.27,1.25,3.19,2.87,0.86,,2.25,2.67,1.48,1.92,2.46,,,3.12,,,1.63,2.32
261720087150701,Matiyari,26.28888889,87.25194444,,,,,,,,,,,,,,,,,3.94,3.92,3.55,2.76,3.21,4.6,2.45,2.98,,3.85,1.15,2.7,3.31,4.36,2.92,2.57,4.67,3.61,1.99,,3.25,4.62,2.07,2.05,2.62,,,3.1,,,2.01,2.43
260309087090101,Bhargama,26.0525,87.15027778,,,,,,,,,,,,,,,,,,,,,,,,2.4,3.0,3.22,1.38,2.08,2.71,4.3,,,,2.88,0.61,,2.48,2.64,1.64,2.56,,,,4.26,,,2.04,2.85
261507087340801,Palasi,26.25194444,87.56888889,,,,,,,,,,,,,,,,,,,,,,,,2.19,2.4,2.23,1.1,,2.66,3.2,2.1,2.79,,3.1,1.44,,,3.21,2.47,1.92,2.34,,,3.82,,,2.55,2.22
260410087140201,Raniganj,26.06944444,87.23388889,,,,,,,,,,,,,,,,,,,,,,,,3.06,3.38,4.5,1.4,2.28,2.79,3.68,1.98,3.02,4.42,,,,4.5,2.26,1.32,2.73,3.12,,,2.92,,,1.68,3.33
260845087391501,Jokihat,26.14583333,87.65416667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,3.4,2.1,,,,,,,,,,,,,,
