station_id,station_name,latitude,longitude,2010_season1,2010_season2,2010_season3,2010_season4,2011_season1,2011_season2,2011_season3,2011_season4,2012_season1,2012_season2,2012_season3,2012_season4,2013_season1,2013_season2,2013_season3,2013_season4,2014_season1,2014_season2,2014_season3,2014_season4,2015_season1,2015_season2,2015_season3,2015_season4,2016_season1,2016_season2,2016_season3,2016_season4,2017_season1,2017_season2,2017_season3,2017_season4,2018_season1,2018_season2,2018_season3,2018_season4,2019_season1,2019_season2,2019_season3,2019_season4,2020_season1,2020_season2,2020_season3,2020_season4,2021_season1,2021_season2,2021_season3,2021_season4
244200084593001,Bodh Gaya,24.7,84.99166667,2.91,6.42,3.46,3.47,4.26,6.42,3.22,3.32,3.62,6.42,,3.44,4.42,6.12,3.47,3.42,3.72,2.8,3.02,3.52,3.7,4.15,4.15,4.66,,7.05,2.15,3.26,3.48,5.66,3.34,3.44,3.96,6.75,3.42,,5.38,7.05,2.15,3.38,3.58,,3.1,3.4,,,3.24,3.3
244715085014501,Manpur,24.7875,85.02916667,6.14,7.66,5.88,6.14,,8.03,5.5,5.78,6.16,7.83,,6.0,6.87,8.03,5.77,5.54,6.34,6.66,4.6,5.8,6.1,5.53,5.53,6.55,,7.5,1.89,6.06,6.33,8.0,5.86,6.3,5.14,5.44,5.06,,8.0,7.12,6.16,8.0,8.0,,,,,,2.6,
244815085131501,Wazirganj,24.80416667,85.22083333,3.1,5.46,3.54,4.04,5.12,7.3,2.1,1.55,2.63,5.76,,4.17,5.49,6.9,,,1.8,4.2,1.22,2.18,2.7,3.2,1.7,2.61,,6.53,4.73,2.2,3.63,5.12,2.18,1.62,3.29,6.61,4.53,,2.0,7.16,2.65,0.88,2.48,,2.0,2.1,2.71,,0.3,1.08
243830085134501,Fatehpur,24.64166667,85.22916667,,10.85,10.85,10.85,10.85,10.85,,,,,,5.57,,10.85,,5.25,5.35,6.3,2.47,3.35,4.33,3.18,3.18,4.92,,6.83,1.56,4.47,5.13,10.85,3.74,4.62,5.5,6.46,4.96,,10.85,,5.68,4.48,5.37,,3.2,4.3,5.21,,2.8,3.15
245645084510001,Tekari,24.94583333,84.85,,6.25,3.55,6.25,6.25,6.0,2.44,3.75,1.87,6.25,,,,5.16,,,4.86,,2.21,3.51,3.68,5.18,3.12,3.62,,4.43,4.63,,5.21,4.82,3.03,4.18,4.95,6.25,3.63,,5.5,7.0,5.5,2.88,4.47,,4.74,4.55,,,,2.15
243155084550601,Dobhi,24.53194444,84.91833333,,,,,,,,,,,,,,6.13,,3.45,4.35,5.4,3.46,3.62,3.88,,4.6,5.29,4.98,7.6,2.0,3.38,4.82,6.6,4.07,4.14,5.22,7.66,3.1,,5.95,,1.6,2.6,3.57,,2.6,3.7,5.16,,3.7,3.5
245951084582001,Paligaon,24.9975,84.97222222,,,,,,,,,,,,,,8.0,2.61,,4.14,8.0,7.36,6.12,3.98,5.6,4.62,8.0,5.1,5.25,2.12,,,8.0,6.62,7.08,,7.6,6.8,,8.0,5.86,1.5,6.88,8.0,,,,,,,
244842085005601,Ram Kund,24.81166667,85.01555556,,,,,,,,,,,,,,,,,5.78,3.87,2.63,4.46,5.66,5.21,5.06,5.44,5.46,5.71,4.25,,,6.53,4.89,4.9,,6.26,4.71,,5.01,4.61,3.31,5.14,5.36,,4.03,5.02,,,4.71,5.06
244657084595901,Sangat Gali,24.7825,84.99972222,,,,,,,,,,,,,,,,,7.25,5.2,2.1,6.15,7.48,10.15,6.01,6.7,7.36,8.45,1.64,,,11.4,5.72,5.72,6.79,7.23,5.07,,6.75,8.12,2.19,5.98,6.6,,5.7,5.98,,,3.35,5.65
243432084463201,Akauna,24.57555556,84.77555556,,,,,,,,,,,,,,,,,,,,,,6.7,4.57,7.4,4.0,7.05,,2.01,3.14,5.75,1.84,2.22,4.13,7.0,2.74,,5.31,,0.6,1.67,3.04,,0.97,1.85,3.65,,,1.35
243107084571301,Bhadeya,24.51861111,84.95361111,,,,,,,,,,,,,,,,,,,,,,7.65,4.32,5.43,5.0,4.15,0.6,2.24,3.4,7.15,4.21,3.73,5.73,8.56,3.64,,7.1,8.54,0.7,2.01,3.66,,1.37,2.65,4.14,,0.3,
243101084400001,Banke Bazar,24.51694444,84.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,5.58,0.5,2.51,3.87,5.22,1.67,3.55,4.32,6.3,3.08,,4.38,7.05,2.48,3.09,5.8,,2.34,3.22,4.04,,2.13,2.88
242607084320901,Baseta,24.43527778,84.53583333,,,,,,,,,,,,,,,,,,,,,,,,,,4.83,0.8,2.05,2.65,4.39,1.74,2.36,3.03,5.05,1.34,,3.12,,0.73,1.69,2.65,,1.0,1.83,2.77,,1.03,1.73
245006085000701,Bitho Sharif 1,24.835,85.00194444,,,,,,,,,,,,,,,,,,,,,,,,,,8.86,3.08,3.98,,,,6.68,,,7.43,,10.0,4.3,3.82,7.48,10.0,,,6.65,,,,7.0
244608085000301,Chand Chowra Chowk,24.76888889,85.00083333,,,,,,,,,,,,,,,,,,,,,,,,,,8.45,2.86,5.9,5.39,8.45,5.65,6.53,7.19,7.93,1.62,,6.96,8.45,1.22,5.68,6.56,,4.43,4.36,,,1.83,4.53
243108085021001,Dangra More,24.51888889,85.03611111,,,,,,,,,,,,,,,,,,,,,,,,,,6.72,4.12,2.56,3.46,5.74,3.57,4.48,5.38,7.63,5.98,,6.74,8.14,6.74,3.28,4.05,,2.31,3.96,4.6,,1.74,1.74
244806084470101,Guraru,24.80166667,84.78361111,,,,,,,,,,,,,,,,,,,,,,,,,,6.15,2.07,1.65,2.65,4.95,1.61,,3.94,5.95,1.44,,5.89,7.11,1.75,2.75,6.62,,2.15,2.35,,,0.7,1.42
245505084460401,Konch,24.91805556,84.76777778,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,4.37,2.81,4.73,8.15,4.77,8.45,8.88,9.55,9.08,,10.0,,10.0,8.84,9.51,,6.5,5.81,,,2.95,3.57
242601084290801,Magra,24.43361111,84.48555556,,,,,,,,,,,,,,,,,,,,,,,,,,6.24,0.65,1.98,3.27,7.72,1.33,2.65,3.61,6.0,0.96,,4.64,7.81,,1.8,3.47,,0.6,2.52,3.52,,1.2,1.7
244101084460001,Raghunath Khap,24.68361111,84.76666667,,,,,,,,,,,,,,,,,,,,,,,,,,9.3,3.4,2.3,3.86,8.64,2.49,2.65,4.82,9.2,4.33,,6.34,,2.83,1.72,3.88,,1.28,2.43,3.81,,0.98,1.55
