idx,UID,district_coords,lat,lon,dist_closest_lin,dist_closest_river,dist_closest_road,dist_closest_upstream_forest,elevation,slope,flow_accumulation,proximity_water,drainage_density,HSG,CEC,PH,OC
12,22,bhagalpur,25.10398797,87.28093885,-0.1329471570250698,0.8554192700700249,-1.468596022652814,1.745489841189496,-0.7567741022576927,0.7497681065550034,-0.9528332996853937,0.7760269122787956,0.467675840158248,13.0,-0.7310282065467952,-1.429850515330716,0.1872550496601511
25,41,darbhanga,26.1769845,86.2418658,-0.0365363696655581,0.4222031077599137,-0.8052083499360748,-1.9244251033777249,-0.5825213944374255,1.012488253317898,0.4497187345075072,1.1800992682347469,0.6963673728612259,3.0,0.3419394424762882,-0.3082697191233647,1.0538563588672138
26,42,darbhanga,26.07667939,86.07990048,0.4350804736415619,-0.1620002775730088,-0.5159327902034743,-0.6152407647327839,-0.7724370395049159,-0.3402539544882246,0.8884679919307219,-0.0987965521387028,-0.011119933536131,13.0,0.3419394424762882,-0.3082697191233647,1.0538563588672138
27,44,darbhanga,26.1313527,86.0594474,0.4122782609160108,-0.224108935717931,-1.3926323764510529,-1.9244251033777249,-0.6255913894000326,1.2140377346727678,0.4497187345075072,0.593458706190475,0.3715793100189897,3.0,0.3419394424762882,-0.3082697191233647,1.0538563588672138
45,64,darbhanga,25.9366636,85.9950732,-0.6670534037100446,-0.3076534835672017,-1.6517809746024856,-0.4485518458373685,-0.731676614587883,0.6777695982827721,1.461714654353008,1.348312211382281,0.6450363989300602,13.0,1.344582383514134,1.522115148824025,-0.8290421411757364
46,65,darbhanga,26.0165747,86.1137661,-0.1363524875412058,-0.3174942005904568,-2.152093569901848,0.6246836402383014,-0.7426041306049351,0.9116592860289692,-0.9528332996853937,0.6894493754286729,0.3662034872008299,13.0,0.3419394424762882,-0.3082697191233647,1.0538563588672138
47,68,darbhanga,25.96798167,86.09217923,-0.0826317461207245,-0.2629005751589918,-1.6597441684389114,-0.4486277331711742,-0.7529947674700118,0.4007105984884858,1.9321490662154777,0.5304744907932876,-0.1546190939034641,13.0,0.3419394424762882,-0.3082697191233647,1.0538563588672138
49,70,darbhanga,25.96804731,86.08674721,-0.1059215715238933,-0.4080588595813405,-1.7388750873356107,-0.0817883413137589,-0.763878708925405,-0.6974983584586666,-0.9528332996853937,0.3762698943114587,0.080130406947762,3.0,0.3419394424762882,-0.3082697191233647,1.0538563588672138
52,75,darbhanga,25.90526858,86.3236408,-0.015452842939806,-2.2123987611240428,-1.4216199626825383,-0.1308745262478747,-0.7935009837629028,-0.4864953812506231,-0.9528332996853937,1.1130529165244294,-1.027481351355461,13.0,0.3419394424762882,-0.3082697191233647,1.0538563588672138
61,85,gopalganj,26.5928183,84.1305933,-0.4782726101228711,0.13594169842284,1.3799647277094165,-0.1327797658461421,-0.1734444598734641,0.7632917375327425,-0.9528332996853937,-0.6549562782510022,-1.1404411056168826,3.0,1.344582383514134,1.522115148824025,-0.8290421411757364
92,132,gopalganj,26.41115951,84.25184878,-0.1310222900002136,0.9134975694569738,0.4790947021798494,0.0675524613574638,-0.2568939681160624,-0.144520065021963,-0.9528332996853937,-0.812108253461512,0.1578238022332463,3.0,1.344582383514134,1.522115148824025,-0.8290421411757364
102,149,gopalganj,26.3878253,84.2973965,-0.1412174913228691,1.5132192138920884,-1.30105686845415,0.3755409150999047,-0.3284177883685937,-0.3140231142825438,-0.2215186852153114,0.0010204007815788,-0.4606426142712417,13.0,1.344582383514134,1.522115148824025,-0.8290421411757364
