idx,UID,Treatment,district_coords,lat,lon,dist_closest_lin,dist_closest_river,dist_closest_road,dist_closest_upstream_forest,elevation,slope,flow_accumulation,proximity_water,drainage_density,HSG,CEC,PH,OC
1992,2947,0,siddharthnagar,27.11263749,82.76326935,-0.0895848140478001,-2.6751656877867296,1.3086732113407833,-0.0025122027901108,-0.0015589717008277,-0.4879454059242519,0.1855435884480947,-0.3108482586497118,0.5154287862130219,13.0,0.3419394424762882,-0.3082697191233647,1.0538563588672138
1993,2948,0,siddharthnagar,27.14982775,82.88454191,-0.2519077179244198,-1.4243732037190548,0.9132289878592128,0.6332319778268479,-0.0300369920666077,0.2089331617006917,0.4497187345075072,-0.5385025174468036,-0.1761658280358768,13.0,0.3419394424762882,-0.3082697191233647,1.0538563588672138
1994,2949,0,siddharthnagar,27.08622703,82.86675527,0.05491231770043,0.526057372370273,0.5826885554355951,1.121068593181389,0.0197090783077691,-0.3542451575308508,0.1855435884480947,-0.807026169136601,0.0198723874908432,13.0,0.3419394424762882,-0.3082697191233647,1.0538563588672138
1995,2950,0,siddharthnagar,27.11883587,82.80477151,-0.0316440515128553,0.5089015598027798,1.6987267023759456,-1.0149583873222068,0.0668103244766948,-0.7210668576990336,-0.9528332996853937,-0.5988141812907999,-0.8407787290996162,13.0,0.3419394424762882,-0.3082697191233647,1.0538563588672138
1996,2952,0,siddharthnagar,27.25331367,82.96161736,-0.3205895187964542,-1.8613197756632345,1.3860543496209596,0.1161207065206235,-0.0169931985660199,2.018820304735678,-0.9528332996853937,1.667158942586474,-1.1391304252942984,13.0,0.3419394424762882,-0.3082697191233647,1.0538563588672138
1997,2953,0,siddharthnagar,27.24361186,82.86971971,-0.0659363875542356,-1.143141549468288,1.070843888821425,1.2785661304041405,0.0252689316269935,0.2119434966598615,-0.9528332996853937,1.2701003375835842,1.0853029775845235,3.0,0.3419394424762882,-0.3082697191233647,1.0538563588672138
1998,2954,0,siddharthnagar,27.11371547,82.76677278,-0.0924376433962019,-1.0067304780988893,1.4137929653394656,0.191409115719885,0.0442020851961153,0.0390189563457488,0.9777186753579232,-0.7423884563483389,0.3519024674892481,13.0,0.3419394424762882,-0.3082697191233647,1.0538563588672138
1999,2955,0,siddharthnagar,27.14443786,82.98398541,-0.2254022298833324,-0.2876564655334452,1.3742158954863877,0.674602403668533,-0.0196781467362871,0.34445780824742,-0.9528332996853937,-0.6515307272344695,0.6750729770419762,13.0,0.3419394424762882,-0.3082697191233647,1.0538563588672138
2000,2956,0,siddharthnagar,27.17084833,82.98425491,-0.3968720555205178,-0.5374515583779804,0.6544700205191583,-0.3417001380834861,-0.0595020394249804,-0.5479061198595059,-0.9528332996853937,0.2110373782377388,-0.0625655226718098,13.0,0.3419394424762882,-0.3082697191233647,1.0538563588672138
2001,2958,0,siddharthnagar,27.10158822,83.09016628,0.1684943140351908,-0.4727454728806881,2.0313310695148057,1.0423579903585,-0.0643373253939239,-0.311658838170222,1.0515907317671025,-0.2807133705545979,0.5128591872731177,13.0,0.3419394424762882,-0.3082697191233647,1.0538563588672138
