idx,Unnamed: 0,system:index,Treatment,lat,lon,dist_closest_lin,dist_closest_river,dist_closest_road,dist_closest_upstream_forest,elevation,slope,flow_accumulation,proximity_water,drainage_density,cropping_intensity_2016-2017,HSG,CEC,PH,OC
0,12,00000000000000000016,1,25.10386940619487,87.28099481230726,-0.1344509656764398,0.8485276774549095,-1.4691077468150897,1.7291303431124994,-0.7747750415644371,0.7347446651949017,-0.957141216802525,0.8125272506341,0.4551735874512586,2.0,13.0,-0.7963804206343552,-1.406057538494102,0.1594654236111454
1,25,00000000000000000029,1,26.176702365047635,86.24188157562065,-0.0397324375271772,0.4184056178906183,-0.8166707546570774,-1.937199654678801,-0.6020961232694698,0.9932356035286606,0.423463981894162,1.2059226269750432,0.681376261588479,2.0,3.0,0.3043727942650502,-0.3093956135879935,1.0448918178120303
2,26,0000000000000000002a,1,26.07680958324834,86.07997607547108,0.4238016054869256,-0.1610083776754127,-0.5305678170765892,-0.6278388259561143,-0.7902965166393736,-0.3377304716961091,0.8603198828363691,-0.0553277104813983,-0.0184114338006349,1.0,13.0,0.3043727942650502,-0.3093956135879935,1.0448918178120303
3,27,0000000000000000002c,1,26.1314380302541,86.0592278782694,0.4013826860739292,-0.2225629633258581,-1.3946800498770051,-1.937199654678801,-0.6447771250980547,1.1915405877410892,0.423463981894162,0.6331728726919768,0.3601228794696895,2.0,3.0,0.3043727942650502,-0.3093956135879935,1.0448918178120303
4,45,00000000000000000040,1,25.936833942079616,85.9949856093924,-0.6589394686204969,-0.3053478495882633,-1.6482613255073992,-0.4612727918175164,-0.7499042256273092,0.6639051723305939,1.4373640790436788,1.368170446377113,0.6306039245803654,3.0,13.0,1.3533283895381378,1.5040166281390692,-0.8505204591358354
5,46,00000000000000000041,1,26.01655375071312,86.11329447854243,-0.1377962774474381,-0.3150979885304182,-2.134981643222463,0.6106003457013535,-0.7607330481407693,0.8940297577384579,-0.957141216802525,0.7275949018512072,0.3548055619337798,2.0,13.0,0.3043727942650502,-0.3093956135879935,1.0448918178120303
6,47,00000000000000000044,1,25.967762266986316,86.09208699393226,-0.0850204026180032,-0.2610039390640675,-1.6560384544103834,-0.461348617145146,-0.7710298404070216,0.391306204519905,1.9222076889703577,0.5710741410414097,-0.1603488873997374,2.0,13.0,0.3043727942650502,-0.3093956135879935,1.0448918178120303
7,49,00000000000000000046,1,25.96810561776743,86.08686538659866,-0.1079011088139714,-0.4048180351648762,-1.733269901608405,-0.0948697381001714,-0.7818154819090266,-0.6892240375098684,-0.957141216802525,0.4185654183069853,0.0718458257901558,2.0,3.0,0.3043727942650502,-0.3093956135879935,1.0448918178120303
8,52,0000000000000000004b,1,25.90545524796652,86.32323341523971,-0.0190171836554278,-2.187373730806562,-1.42309067822419,-0.1439008751086961,-0.811170218718347,-0.481617737643766,-0.957141216802525,1.140999101389783,-1.023711752021098,2.0,13.0,0.3043727942650502,-0.3093956135879935,1.0448918178120303
9,61,00000000000000000055,1,26.592589342999368,84.13048830861192,-0.4736048762796551,0.134398098474327,1.3637856141972973,-0.1458040190779192,-0.1967138285347076,0.7480505958750873,-0.957141216802525,-0.6174081095097466,-1.1354421610214311,2.0,3.0,1.3533283895381378,1.5040166281390692,-0.8505204591358354
10,92,00000000000000000084,1,26.410930025183035,84.25189179389304,-0.1325600168874766,0.906218749176922,0.4598560964176459,0.0542913257273551,-0.2794096499990259,-0.1451474613131533,-0.957141216802525,-0.7775751586285139,0.1486936809278541,2.0,3.0,1.3533283895381378,1.5040166281390692,-0.8505204591358354
11,102,00000000000000000095,1,26.387698108694583,84.29708032396866,-0.1425755066984631,1.50229878054355,-1.3048542896904909,0.3618536088371541,-0.3502874921170942,-0.3119218895161949,-0.2397213236975746,0.0447355760354413,-0.4630419422667224,1.0,13.0,1.3533283895381378,1.5040166281390692,-0.8505204591358354
12,107,0000000000000000009b,1,26.405998259417927,84.23963818419817,-0.2171630754195695,0.4462869055675116,0.8552044850758134,-1.937199654678801,-0.3409205262707215,0.3248821206242667,1.0236509320942544,0.0168668692859043,0.5950603630529335,2.0,13.0,1.3533283895381378,1.5040166281390692,-0.8505204591358354
13,119,000000000000000000ad,1,26.498457719761127,84.47471307353374,-0.3542876625991339,0.8534812275153878,0.4335373540694225,-1.937199654678801,-0.3394151124184785,-0.5906359848252033,-0.957141216802525,1.0943938373256237,-0.8501629553818298,2.0,13.0,-0.4857426196775113,1.5040166281390692,-1.0180653183049686
14,125,000000000000000000b8,1,26.356083082225652,84.4764209092372,0.4259533002043091,2.211243430852456,-2.084680164059677,0.3026629718604201,-0.3812152060108313,-0.508739816462325,0.423463981894162,0.3782228590803172,-0.7360143371513591,2.0,3.0,1.3533283895381378,1.5040166281390692,-0.8505204591358354
15,126,000000000000000000b9,1,26.392991061645027,84.50127147940805,0.1351245189209763,2.045155482522933,0.4360490833374257,0.2852276475968712,-0.3602472361724319,-0.2245700148460842,-0.957141216802525,0.897659711605937,0.6071514092036209,2.0,3.0,1.3533283895381378,1.5040166281390692,-0.8505204591358354
16,129,000000000000000000bc,1,26.33244092844028,84.73081708343734,-0.0174471575719161,0.9060404696408336,0.5062725092622996,-0.2881589736982925,-0.4356016672956159,-0.4839088216101784,1.2638657204231434,-0.2088641434579869,-0.3723385253586138,2.0,13.0,-0.4857426196775113,1.5040166281390692,-1.0180653183049686
17,131,000000000000000000c1,1,26.2750745933877,84.69752989407337,-0.2291649109760406,0.664989642408975,0.5227494810842406,-0.6883795388259583,-0.4821790392128612,-0.7755691741368594,-0.957141216802525,-1.4112291474881982,-0.5286234108853342,1.0,3.0,1.3533283895381378,1.5040166281390692,-0.8505204591358354
18,142,000000000000000000d1,1,24.936572852871688,85.96317438247712,-0.4865070273113224,2.830654776779405,-0.4199833172680416,-0.2474658918934112,-0.4113914296920176,0.3234853975792417,-0.957141216802525,-1.0650796031610597,0.7095399422442021,2.0,13.0,-1.8394454808364664,-1.406057538494102,-1.1880136860374768
19,172,000000000000000000f7,1,25.003370186652308,86.17444213128833,-0.2997847048657895,0.7288815340776046,0.5938139215468863,0.5787983746093505,-0.3878744292251834,0.3591553398610158,-0.957141216802525,0.0807640244686987,0.6060780717230233,2.0,13.0,-1.8394454808364664,-1.406057538494102,-1.1880136860374768
20,186,0000000000000000010c,1,25.02212070658205,86.28959395689252,-0.2771795995509313,1.6807375176073909,-0.0718421784638312,-1.937199654678801,0.2060857822008918,-0.1043135358844826,-0.957141216802525,0.2191744684177939,1.4420351745740232,2.0,3.0,0.0841756526224865,-0.3093956135879935,0.949576401386244
21,196,0000000000000000011b,1,24.962756694257525,86.49231806808534,-1.273568434616299,1.158416464920846,-1.7126749489445234,-1.937199654678801,0.6860388642232121,3.8828090748342223,-0.2397213236975746,-0.7167721696744945,2.3931493209034485,1.0,3.0,0.3043727942650502,-1.406057538494102,-1.1310923864213274
22,205,00000000000000000127,1,24.930932090039082,86.3327090049783,-0.2459534894216877,0.6657517031993266,0.0752725482334702,1.6594765691981332,0.1724755133299829,-0.2616420922492151,-0.957141216802525,0.1772952086103456,1.9398032023840897,1.0,3.0,-1.8394454808364664,-1.406057538494102,-1.1880136860374768
23,213,00000000000000000130,1,24.971835424002336,86.39968024369999,-0.2130376997695612,1.8976008387858287,0.6218300441511156,1.657899225553459,0.4746538393542691,-0.1594069719491953,-0.2397213236975746,0.2035436411832234,1.2606365690689847,1.0,3.0,0.3043727942650502,-1.406057538494102,-1.1310923864213274
24,215,00000000000000000137,1,24.9552208134772,86.3850543922447,-0.1078208429771778,1.837241931304665,1.373275703449287,-0.1413638809093933,0.3431302228651301,-0.3292419573817058,-0.2397213236975746,-0.1449647905796913,0.7119645512719239,1.0,3.0,0.3043727942650502,-1.406057538494102,-1.1310923864213274
25,223,00000000000000000140,1,24.89124163156236,86.409191506247,-0.8388751893535755,0.3122808763567944,0.3181554431138124,0.2279759632451832,0.6107424882898008,0.0527834705262316,1.904487021474328,-0.9871091037786563,1.3969175158602007,2.0,3.0,0.3043727942650502,-1.406057538494102,-1.1310923864213274
26,224,00000000000000000141,1,24.90043629793457,86.44598800814003,-0.3366664054004658,1.1886046792769394,-0.2875421256322571,0.8681526512653328,1.102602504558883,0.6783650462985243,1.3762266166584018,-0.7096086751646111,2.176149555692718,1.0,3.0,0.3043727942650502,-1.406057538494102,-1.1310923864213274
27,229,00000000000000000148,1,24.966234793079213,86.4337879076578,-0.5914190393067447,1.4775975854234251,1.2465963294848077,0.8044653801275145,0.9122525365021557,0.5859337611036161,-0.957141216802525,0.4250050504188454,1.5285677519706429,1.0,3.0,0.3043727942650502,-1.406057538494102,-1.1310923864213274
28,232,0000000000000000014e,1,24.9470026902357,86.42202925817986,-0.3766336044077016,1.847231141021624,0.4861663962553195,0.0885458249866636,0.3152263845946221,0.4550555567811071,0.423463981894162,-0.0808627215358748,2.064997871245382,1.0,13.0,0.3043727942650502,-1.406057538494102,-1.1310923864213274
29,238,0000000000000000015d,1,24.803196681262076,86.40050517739489,-0.6612556357215104,1.092515344193509,1.1446382889980131,-0.0090946573676581,0.9962094908584752,0.6750831475632277,1.5255778396629245,1.2407447671201548,2.033799772277815,1.0,3.0,0.3043727942650502,-1.406057538494102,-1.1310923864213274
30,242,00000000000000000164,1,24.815695541514877,86.4532518837561,-1.259708049385896,1.0790013394220457,0.5964786025630426,0.5839545390552151,1.3692170134812758,0.2784459410188181,-0.957141216802525,-0.8846127227557401,1.9390507690395145,1.0,3.0,0.3043727942650502,-1.406057538494102,-1.1310923864213274
31,244,00000000000000000166,1,24.8290460900689,86.4082149631163,-0.474755861440543,0.8421135572294768,-0.6377193600135465,2.1174565028941323,1.082245797195588,0.1921928369029235,-0.957141216802525,1.2057254117222318,1.3470484645682976,1.0,3.0,0.3043727942650502,-1.406057538494102,-1.1310923864213274
32,248,0000000000000000016b,1,24.874025042395008,86.36363287078393,-0.4540707537180655,-0.912550338701848,0.9412999132839248,-0.6251672912859418,0.2630385664975695,0.1648019256937681,-0.957141216802525,0.3292789527438165,1.577906534319832,1.0,13.0,-1.8394454808364664,-1.406057538494102,-1.1880136860374768
33,252,00000000000000000172,1,24.771599491197353,86.35864313670513,-0.390464370765391,-1.5196888110009832,-0.1118986410483233,1.2714318343448443,0.7097817837309813,1.785367096480806,-0.957141216802525,1.224709661121935,1.7247142338807278,2.0,13.0,-1.8394454808364664,-1.406057538494102,-1.1880136860374768
