idx,UID,district_coords,lat,lon,dist_closest_lin,dist_closest_river,dist_closest_road,dist_closest_upstream_forest,elevation,slope,flow_accumulation,proximity_water,drainage_density,HSG,CEC,PH,OC,idx_matched,UID_matched,district_coords_matched,lat_matched,lon_matched,dist_closest_lin_matched,dist_closest_river_matched,dist_closest_road_matched,dist_closest_upstream_forest_matched,elevation_matched,slope_matched,flow_accumulation_matched,proximity_water_matched,drainage_density_matched,HSG_matched,CEC_matched,PH_matched,OC_matched
0,1,bhagalpur,25.2489791,87.4797722,-0.7090696769519825,0.9355656605562978,-1.9170919566996103,0.3197194403379169,-0.6001518544778239,0.3591720365220784,-0.9528332996853937,-0.043013729049912,2.681459272178949,3.0,0.3419394424762882,-1.429850515330716,-1.1168385657027713,2100,3098,siddharthnagar,27.20615212,82.95811393,-1.5596394838496055,-0.3120171349813523,-0.356537994269828,0.3577929561798433,-0.0415091152208191,-0.4112905864964047,-0.2215186852153114,0.5672521760357967,-0.599440702621182,3.0,0.3419394424762882,-0.3082697191233647,1.0538563588672138
1246,1805,deoria,26.4457033,83.4884886,2.0265853220479166,-0.3407892631724074,-1.2921658663646225,2.0902878445881408,-0.2445377540867576,-0.1331577575251004,-0.9528332996853937,0.6057851158163975,-1.2145056356368766,3.0,0.3419394424762882,-0.3082697191233647,1.0538563588672138,2100,3098,siddharthnagar,27.20615212,82.95811393,-1.5596394838496055,-0.3120171349813523,-0.356537994269828,0.3577929561798433,-0.0415091152208191,-0.4112905864964047,-0.2215186852153114,0.5672521760357967,-0.599440702621182,3.0,0.3419394424762882,-0.3082697191233647,1.0538563588672138
1,6,bhagalpur,25.2247291,87.2711543,-0.0924088760791464,-0.2268858022915078,-0.7379109489575683,1.2607437190018689,-0.992900818040341,-0.2206695210920172,1.9752387926557693,-0.5580479867584659,1.2478587643345926,13.0,-0.4252806193568396,-1.429850515330716,-1.0006086344757763,6430,9408,pashchim champaran,26.97762071,84.71252368,-0.6260368122808441,2.2538156602622648,-0.7896788263868812,-1.9244251033777249,-0.185781053829472,0.1939504754835278,-0.9528332996853937,-0.3616310386935617,0.3526946064430243,13.0,-1.794622897305855,-0.0889652062603443,-1.1168385657027713
2,7,bhagalpur,25.17861177,87.27160473,-0.0739658888403203,1.0065639255392194,-1.2544803779117597,1.2229088769586465,-0.9550391788370958,-0.0729004671206885,-0.9528332996853937,-0.1267935252168074,0.6960189056668574,3.0,-0.7310282065467952,-1.429850515330716,0.1872550496601511,2029,2996,siddharthnagar,27.15117522,82.82336664,-0.0767629851054058,-0.7553753458447372,-0.3910557119242473,0.4443722742335668,0.0464743620681071,0.135249920477585,-0.9528332996853937,-0.9672934870390536,-0.5817326535238134,3.0,0.3419394424762882,-0.3082697191233647,1.0538563588672138
1113,1613,banka,24.8872733,86.7822543,-0.4972034634269555,1.42273313925723,1.301324027403718,-0.3358782372862338,1.063601761523929,0.2130115157810526,1.401444955492814,1.6895674421699778,1.7382047928322248,3.0,-0.0690045146456619,-0.3082697191233647,0.96162490117782,2029,2996,siddharthnagar,27.15117522,82.82336664,-0.0767629851054058,-0.7553753458447372,-0.3910557119242473,0.4443722742335668,0.0464743620681071,0.135249920477585,-0.9528332996853937,-0.9672934870390536,-0.5817326535238134,3.0,0.3419394424762882,-0.3082697191233647,1.0538563588672138
3,9,bhagalpur,25.22180279,87.31438075,0.1066267787313188,0.1653921299949149,-2.2648236234202077,2.03941359388718,-0.8292761648911555,0.8487782212601052,-0.2215186852153114,0.5977631026435276,2.794591873563306,13.0,-0.7310282065467952,-1.429850515330716,0.1872550496601511,5594,8172,basti,27.10509165,82.57866556,-0.8208997721007323,-0.3728481307547069,0.9811294965369658,0.2136116648536521,0.0713791858139096,0.0162248730677463,-0.9528332996853937,-0.3819135918308013,-0.6126168295594318,3.0,0.3419394424762882,-0.3082697191233647,1.0538563588672138
4,10,bhagalpur,25.27576489,87.26855245,0.0062471635217642,0.6146107047590278,-2.091985416997921,0.984120196911228,-0.8488857761842481,-0.5240557654934568,0.1855435884480947,-0.431840616864767,2.477454375622361,3.0,-0.4252806193568396,1.522115148824025,-1.0006086344757763,2596,3832,rae bareli,27.03017215,83.62780798,0.4012172356377361,-0.8909949400089169,-0.717304017473413,-0.4512764991443975,0.0319044489412079,-0.9038722812963508,0.1855435884480947,-0.189055565451795,-1.9832741794862865,13.0,0.3419394424762882,-0.3082697191233647,1.0538563588672138
343,495,jamui,24.7301666,86.1733696,-0.0100899072301125,1.8475348937639164,1.7453166238112858,1.285792967959822,1.068385391649152,-0.0485352659198259,0.1855435884480947,-1.3401688451435758,2.5269847816632622,13.0,-1.794622897305855,-1.429850515330716,-1.1755232335749537,2596,3832,rae bareli,27.03017215,83.62780798,0.4012172356377361,-0.8909949400089169,-0.717304017473413,-0.4512764991443975,0.0319044489412079,-0.9038722812963508,0.1855435884480947,-0.189055565451795,-1.9832741794862865,13.0,0.3419394424762882,-0.3082697191233647,1.0538563588672138
826,1195,purba champaran,26.6656002,84.793101,-1.3851933466073143,1.6614660960873069,-1.5212172386135798,0.0342826611756063,-0.3009403343302125,-0.7228139134817136,-0.9528332996853937,0.6908067518678923,-0.1734631275681502,13.0,1.344582383514134,1.522115148824025,-0.8290421411757364,2596,3832,rae bareli,27.03017215,83.62780798,0.4012172356377361,-0.8909949400089169,-0.717304017473413,-0.4512764991443975,0.0319044489412079,-0.9038722812963508,0.1855435884480947,-0.189055565451795,-1.9832741794862865,13.0,0.3419394424762882,-0.3082697191233647,1.0538563588672138
5,11,bhagalpur,25.2444211,87.33795299,0.1959854404620485,1.3027545551933974,-0.9705009928372574,0.8346133908306609,-0.7347368602389904,-0.4617753024967544,-0.9528332996853937,0.3877734167681734,2.0061880814116,3.0,-0.4252806193568396,1.522115148824025,-1.0006086344757763,2948,4366,jamui,24.84322359,86.24621737,-0.2060744427928917,0.7249972797542075,0.7243980384023865,-1.0107617984593362,0.1852127263089428,0.2266906413814181,1.81240911986691,-0.5713812547448498,1.2546404720403754,3.0,-1.794622897305855,-1.429850515330716,-1.1755232335749537
