idx,Unnamed: 0,system:index,lat,lon,dist_closest_lin,dist_closest_river,dist_closest_road,dist_closest_upstream_forest,elevation,slope,flow_accumulation,proximity_water,drainage_density,cropping_intensity_2016-2017,HSG,CEC,PH,OC,idx_matched,Unnamed: 0_matched,system:index_matched,lat_matched,lon_matched,dist_closest_lin_matched,dist_closest_river_matched,dist_closest_road_matched,dist_closest_upstream_forest_matched,elevation_matched,slope_matched,flow_accumulation_matched,proximity_water_matched,drainage_density_matched,cropping_intensity_2016-2017_matched,HSG_matched,CEC_matched,PH_matched,OC_matched
272,1171,000000000000000006a0,26.583952064258845,83.76600138850326,0.2836763375832691,0.0182288640184122,-1.4874901465440578,0.5524627990505858,-0.1483656070290303,1.4396163261930792,-0.957141216802525,-0.9802891854409091,-0.0261789595546039,2.0,13.0,1.3533283895381378,1.5040166281390692,-0.8505204591358354,1322,7363,000000000000000029e3,24.85481186,87.01212098,-0.2239159313255457,1.1161061738722116,-0.8700601905707603,0.6886512676185149,0.0870188668813369,0.2097475238901905,1.3520961830807094,-0.3829219760422698,1.9447319607809417,1.0,3.0,-1.8394454808364664,-1.406057538494102,-1.1880136860374768
398,1388,000000000000000007e4,26.76216895606191,83.6189402357606,-0.3627561404871325,0.3320410330203488,-2.0780675650735576,-0.1462806841952443,-0.0729604807438518,-0.0058290533664127,-0.957141216802525,-0.4734778177735403,0.2295057535407425,2.0,3.0,1.3533283895381378,1.5040166281390692,-0.8505204591358354,1322,7363,000000000000000029e3,24.85481186,87.01212098,-0.2239159313255457,1.1161061738722116,-0.8700601905707603,0.6886512676185149,0.0870188668813369,0.2097475238901905,1.3520961830807094,-0.3829219760422698,1.9447319607809417,1.0,3.0,-1.8394454808364664,-1.406057538494102,-1.1880136860374768
27,229,00000000000000000148,24.966234793079213,86.4337879076578,-0.5914190393067447,1.4775975854234251,1.2465963294848077,0.8044653801275145,0.9122525365021557,0.5859337611036161,-0.957141216802525,0.4250050504188454,1.5285677519706429,1.0,3.0,0.3043727942650502,-1.406057538494102,-1.1310923864213274,723,6697,00000000000000002cfe,26.1467689,87.93810437,-0.1732756739795392,-0.2523958967190853,-1.516718453442856,0.8783458233570688,-0.713488792746888,0.2281068413761563,-0.957141216802525,1.2508440713558586,0.3458924724121878,2.0,13.0,-1.8394454808364664,-0.0939621284033118,-1.1310923864213274
374,1335,00000000000000000794,26.42293392521892,83.34130768597096,1.9905168638896744,-0.9318983068627557,-1.698099644718894,0.4916033805559092,-0.2283613489972023,0.2671677939000764,0.8603198828363691,-0.9882515930905862,-0.2193285076815539,2.0,13.0,0.3043727942650502,-0.3093956135879935,1.0448918178120303,723,6697,00000000000000002cfe,26.1467689,87.93810437,-0.1732756739795392,-0.2523958967190853,-1.516718453442856,0.8783458233570688,-0.713488792746888,0.2281068413761563,-0.957141216802525,1.2508440713558586,0.3458924724121878,2.0,13.0,-1.8394454808364664,-0.0939621284033118,-1.1310923864213274
28,232,0000000000000000014e,24.9470026902357,86.42202925817986,-0.3766336044077016,1.847231141021624,0.4861663962553195,0.0885458249866636,0.3152263845946221,0.4550555567811071,0.423463981894162,-0.0808627215358748,2.064997871245382,1.0,13.0,0.3043727942650502,-1.406057538494102,-1.1310923864213274,1405,4928,00000000000000001c45,26.32274887,83.58307187,1.990684997640742,-0.5794758237186155,-0.3478186015803804,2.0365966887061524,-0.3272215686320782,0.4635560229058129,1.638662063754424,1.331680282721497,-1.377394737014069,2.0,3.0,0.3043727942650502,-0.3093956135879935,1.0448918178120303
132,729,00000000000000000418,26.12260901016828,85.32510377633534,-0.0256202754005474,1.4388970078139365,-1.6305572351096949,-1.937199654678801,-0.6475619740152517,-0.163630895976439,1.959916573311414,-1.6636894163526077,0.6820272124285007,3.0,13.0,1.3533283895381378,1.5040166281390692,-0.8505204591358354,1405,4928,00000000000000001c45,26.32274887,83.58307187,1.990684997640742,-0.5794758237186155,-0.3478186015803804,2.0365966887061524,-0.3272215686320782,0.4635560229058129,1.638662063754424,1.331680282721497,-1.377394737014069,2.0,3.0,0.3043727942650502,-0.3093956135879935,1.0448918178120303
29,238,0000000000000000015d,24.80319668126208,86.40050517739489,-0.6612556357215104,1.092515344193509,1.1446382889980131,-0.0090946573676581,0.9962094908584752,0.6750831475632277,1.5255778396629245,1.2407447671201548,2.033799772277815,1.0,3.0,0.3043727942650502,-1.406057538494102,-1.1310923864213274,745,6709,0000000000000000264b,26.13329417,87.91762278,-0.1502916355363017,0.0998527055650651,-0.4292753428485258,-0.6880626949218681,-0.7619287852232707,0.1026284741329273,-0.957141216802525,1.0504534299744797,-0.3985804382253956,2.0,3.0,-1.8394454808364664,-0.0939621284033118,-1.1310923864213274
98,585,0000000000000000034a,26.23213790934407,87.92874166773501,-0.7261012809505897,0.1495302702969962,-0.8932649428157199,-0.2688745033196225,-0.6416023326579732,-0.2755626107999142,-0.957141216802525,0.5801729302878542,0.1132342310258184,1.0,13.0,-1.8394454808364664,-0.0939621284033118,-1.1310923864213274,745,6709,0000000000000000264b,26.13329417,87.91762278,-0.1502916355363017,0.0998527055650651,-0.4292753428485258,-0.6880626949218681,-0.7619287852232707,0.1026284741329273,-0.957141216802525,1.0504534299744797,-0.3985804382253956,2.0,3.0,-1.8394454808364664,-0.0939621284033118,-1.1310923864213274
30,242,00000000000000000164,24.81569554151488,86.4532518837561,-1.259708049385896,1.0790013394220457,0.5964786025630426,0.5839545390552151,1.3692170134812758,0.2784459410188181,-0.957141216802525,-0.8846127227557401,1.9390507690395145,1.0,3.0,0.3043727942650502,-1.406057538494102,-1.1310923864213274,1297,4418,00000000000000001960,26.6596171,84.26219823,-0.0689322557453434,1.2937400645315698,0.4739760748739633,-0.4630582918196767,-0.1434315023259308,0.7985599709708476,-0.2397213236975746,-1.132161282656386,-0.580095154343752,2.0,3.0,1.3533283895381378,1.5040166281390692,-0.8505204591358354
351,1304,00000000000000000768,26.39295984793765,83.50682951707488,1.99056720134927,-0.4809106437559727,-1.072534839078509,0.1445723645379208,-0.2879617105862331,0.7339700621951336,0.1618174908963317,1.2092303523211836,-0.9642713463131982,2.0,3.0,0.3043727942650502,-0.3093956135879935,1.0448918178120303,1297,4418,00000000000000001960,26.6596171,84.26219823,-0.0689322557453434,1.2937400645315698,0.4739760748739633,-0.4630582918196767,-0.1434315023259308,0.7985599709708476,-0.2397213236975746,-1.132161282656386,-0.580095154343752,2.0,3.0,1.3533283895381378,1.5040166281390692,-0.8505204591358354
