idx,UID,Treatment,district_coords,lat,lon,dist_closest_lin,dist_closest_river,dist_closest_road,dist_closest_upstream_forest,elevation,slope,flow_accumulation,proximity_water,drainage_density,HSG,CEC,PH,OC
0,1,1,bhagalpur,25.2489791,87.4797722,-0.7090696769519825,0.9355656605562978,-1.9170919566996105,0.31971944033791694,-0.6001518544778239,0.3591720365220784,-0.9528332996853937,-0.04301372904991209,2.681459272178949,3.0,0.34193944247628827,-1.429850515330716,-1.1168385657027713
1,6,1,bhagalpur,25.2247291,87.2711543,-0.0924088760791464,-0.2268858022915078,-0.7379109489575683,1.2607437190018687,-0.992900818040341,-0.22066952109201726,1.9752387926557693,-0.5580479867584659,1.2478587643345926,13.0,-0.42528061935683964,-1.429850515330716,-1.0006086344757765
2,7,1,bhagalpur,25.17861177,87.27160473,-0.07396588884032036,1.0065639255392194,-1.2544803779117597,1.2229088769586463,-0.9550391788370958,-0.07290046712068857,-0.9528332996853937,-0.12679352521680742,0.6960189056668574,3.0,-0.7310282065467952,-1.429850515330716,0.18725504966015113
3,9,1,bhagalpur,25.22180279,87.31438075,0.10662677873131889,0.16539212999491493,-2.2648236234202073,2.0394135938871796,-0.8292761648911555,0.8487782212601052,-0.22151868521531146,0.5977631026435276,2.7945918735633066,13.0,-0.7310282065467952,-1.429850515330716,0.18725504966015113
4,10,1,bhagalpur,25.27576489,87.26855245,0.0062471635217642265,0.6146107047590278,-2.091985416997921,0.984120196911228,-0.8488857761842481,-0.5240557654934568,0.18554358844809477,-0.431840616864767,2.477454375622361,3.0,-0.42528061935683964,1.522115148824025,-1.0006086344757765
5,11,1,bhagalpur,25.2444211,87.33795299,0.19598544046204852,1.3027545551933974,-0.9705009928372574,0.8346133908306609,-0.7347368602389904,-0.4617753024967544,-0.9528332996853937,0.38777341676817345,2.0061880814116,3.0,-0.42528061935683964,1.522115148824025,-1.0006086344757765
6,12,1,bhagalpur,25.2565035,86.9380132,0.1081890840149206,-1.9938801011272524,-2.180361009844185,-1.9244251033777249,-0.9960534231756774,0.05117191459798335,-0.9528332996853937,1.6852922820595548,-0.21114380036819844,3.0,-0.42528061935683964,1.522115148824025,-1.0006086344757765
7,15,1,bhagalpur,25.17343188,87.04992864,0.11823221785803088,1.1259524293160013,-1.023154914313806,0.003074665663053651,-0.960825406938774,-0.7664627608471,-0.22151868521531146,1.0557062557069907,0.6797805192725276,3.0,-0.7310282065467952,-1.429850515330716,0.18725504966015113
8,16,1,bhagalpur,25.1328837,87.1586199,-0.1969788748076679,0.9463888794597682,-1.7340438290224311,1.2610959370436305,-0.9400545712112686,-0.5492700490480336,0.18554358844809477,-0.9487363162649716,0.6486634155632197,3.0,-0.7310282065467952,-1.429850515330716,0.18725504966015113
9,17,1,bhagalpur,25.11318,86.97264833,-0.47237502641151885,0.43018202017895707,-1.1345950904265425,-0.12874991739919342,-0.8076001850587945,-0.7127663502244314,-0.9528332996853937,0.11355832791373437,0.978107258930743,13.0,-0.7310282065467952,-1.429850515330716,0.18725504966015113
10,18,1,bhagalpur,25.12540911,87.00897376,-0.12561427169168968,1.3893765091566177,-0.23277743197256562,0.20315186398718363,-0.8460674576745674,-0.6333865005216809,-0.9528332996853937,0.17080630400285296,0.6199458366193769,13.0,-0.7310282065467952,-1.429850515330716,0.18725504966015113
11,21,1,bhagalpur,25.1090496,87.2610972,-0.27861236913084875,0.13523691836172386,-0.9001742885528505,0.7966888477806885,-0.7798371755547594,0.6872906781712339,-0.9528332996853937,0.18760513744634172,0.20594185317336658,3.0,-0.7310282065467952,-1.429850515330716,0.18725504966015113
12,22,1,bhagalpur,25.10398797,87.28093885,-0.13294715702506985,0.8554192700700249,-1.4685960226528139,1.7454898411894961,-0.7567741022576927,0.7497681065550034,-0.9528332996853937,0.7760269122787956,0.467675840158248,13.0,-0.7310282065467952,-1.429850515330716,0.18725504966015113
13,23,1,darbhanga,26.201375,85.74806167,-0.13673695810409472,0.009528804094974043,-1.5547577142848914,0.00017209986682833987,-0.5770073162969888,0.6823838483335537,-0.9528332996853937,0.8099028474145537,0.7340471213451087,13.0,0.34193944247628827,-0.3082697191233647,1.0538563588672138
14,24,1,darbhanga,26.204165,85.744675,-0.13748609213489676,-0.2836100529733044,-2.0257506948722988,-0.23783414261150623,-0.6297930977094865,-0.2803422638713853,0.44971873450750727,1.1299357719828385,0.7537248881910152,13.0,0.34193944247628827,-0.3082697191233647,1.0538563588672138
15,26,1,darbhanga,26.211008,85.7336646,-0.11676545604714068,-1.071824502171236,-1.1134896052075893,0.31672554245151185,-0.5979968153345532,-0.31851875690982423,-0.9528332996853937,1.0788160323179472,0.8460086141478627,13.0,0.34193944247628827,-0.3082697191233647,1.0538563588672138
16,27,1,darbhanga,26.20750833,85.73439,-0.10737833970053108,-1.4075492281827024,-1.7493979124953565,-1.9244251033777249,-0.541155893126475,0.13048159849859708,0.44971873450750727,1.1410243948729284,0.8529215747491369,3.0,0.34193944247628827,-0.3082697191233647,1.0538563588672138
17,29,1,darbhanga,26.2145241,85.7207191,-0.06662467312501053,-0.18218672838312,-1.2269309928613792,-0.2042462040074303,-0.6538905539894527,0.06307839666013546,-0.9528332996853937,1.307773570685542,-0.3061561076454043,13.0,0.34193944247628827,-0.3082697191233647,1.0538563588672138
18,30,1,darbhanga,26.2137843,85.7213269,-0.06779917786841576,-0.24546908069164802,-1.7023651785001368,-0.4181788853180339,-0.6488722759825505,0.5067439358171072,0.778033731487533,0.9958950231219922,-0.3061561076454043,13.0,0.34193944247628827,-0.3082697191233647,1.0538563588672138
19,32,1,darbhanga,26.1984035,85.74646714,-0.11764128616466556,-0.1890975359977755,-0.5657670232746932,-0.6155193616535123,-0.5993272797259556,0.834227813741334,-0.22151868521531146,0.772302765524728,0.6804617402864517,3.0,0.34193944247628827,-0.3082697191233647,1.0538563588672138
