UID,Treatment,lat,lon
2945,0,27.11317648,82.7753966
2946,0,27.17381277,82.98587187
2947,0,27.11263749,82.76326935
2948,0,27.14982775,82.88454191
2949,0,27.08622703,82.86675527
2950,0,27.11883587,82.80477151
2951,0,27.17516024,82.98614137
2952,0,27.25331367,82.96161736
2953,0,27.24361186,82.86971971
2954,0,27.11371547,82.76677278
2955,0,27.14443786,82.98398541
2956,0,27.17084833,82.98425491
2957,0,27.23121511,82.9147253
2958,0,27.10158822,83.09016628
2959,0,27.07922017,82.94383072
2960,0,27.18755699,82.83145148
2961,0,27.1522532,83.03734534
2962,0,27.17920266,82.88319444
2963,0,27.19725879,82.98775834
2964,0,27.04930627,82.93628487
2965,0,27.12476475,82.82309714
2966,0,27.08838298,83.00069408
2967,0,27.23498804,82.91149137
2968,0,27.17273479,82.80369353
2969,0,27.15171421,83.11630725
2970,0,27.13850898,83.10741393
2971,0,27.20453515,82.89424371
2972,0,27.18459255,82.83064299
2973,0,27.11075103,82.75760996
2974,0,27.1371615,83.03384191
2975,0,27.20615212,82.92873902
2976,0,27.10590013,82.77943902
2977,0,27.12180031,83.10768343
2978,0,27.24711529,82.97158866
2979,0,27.1921384,82.98856682
2980,0,27.24873226,82.96619877
2981,0,27.13581403,83.11819371
2982,0,27.15063623,83.10956989
2983,0,27.15979905,82.79102729
2984,0,27.12611222,83.11630725
2985,0,27.24900176,82.979404
2986,0,27.11452396,83.12951249
2987,0,27.12072233,83.10768343
2988,0,27.25142721,82.97131917
2989,0,27.11182901,82.76812025
2990,0,27.10563064,82.76704227
2991,0,27.14497685,82.98263794
2992,0,27.16626692,83.01524678
2993,0,27.11964435,82.80638848
2994,0,27.20076222,82.85220256
2995,0,27.12260879,83.10552747
2996,0,27.15117522,82.82336664
2997,0,27.13123262,83.10687494
2998,0,27.286731,82.90879642
2999,0,27.12206981,83.0343809
3000,0,27.25277468,82.96053938
3001,0,27.1522532,83.02979949
3002,0,27.12880717,83.11738523
3003,0,27.09377287,82.78725436
3004,0,27.20049273,82.98668036
3005,0,27.10697811,83.07049317
3006,0,27.07787269,82.93035599
3007,0,27.18594002,82.83091249
3008,0,27.20076222,82.83818884
3009,0,27.13877847,83.03195545
3010,0,27.14874977,82.82390563
3011,0,27.20291818,82.84600418
3012,0,27.15413966,83.03087747
3013,0,27.12206981,82.94275274
3014,0,27.12368677,82.94302223
3015,0,27.09592883,82.82687007
3016,0,27.25385266,82.96754624
3017,0,27.12799869,83.07372711
3018,0,27.12772919,82.84277025
3019,0,27.27702919,82.94005779
3020,0,27.25493064,82.97401411
3021,0,27.07841168,82.94329173
3022,0,27.09862378,83.08854931
3023,0,27.13635302,83.13274642
3024,0,27.25115771,82.96862422
3025,0,27.25385266,82.97374462
3026,0,27.19752829,82.81824624
3027,0,27.18755699,82.83441592
3028,0,27.21531493,82.96727675
3029,0,27.12368677,83.03653686
3030,0,27.17273479,82.97913451
3031,0,27.21100302,82.9597309
3032,0,27.20857757,82.97643956
3033,0,27.15926006,83.05998288
3034,0,27.17758569,82.84303974
3035,0,27.22043533,82.93601538
3036,0,27.236605,82.92227115
3037,0,27.21073352,82.89532169
3038,0,27.20076222,82.94086628
3039,0,27.20911656,82.979404
3040,0,27.21935735,82.93790184
3041,0,27.15602612,82.81770725
3042,0,27.23067612,82.93035599
3043,0,27.19267739,82.85867043
3044,0,27.11694941,83.13705834
3045,0,27.12961565,82.8403448
3046,0,27.11452396,83.13247693
3047,0,27.11425446,83.13813631
3048,0,27.15656511,83.05459299
3049,0,27.20022324,82.98883631
3050,0,27.09323388,82.78725436
3051,0,27.12449526,83.10552747
3052,0,27.12422576,83.11037837
3053,0,27.24873226,82.84223126
3054,0,27.1622245,82.95568848
3055,0,27.22339977,82.84223126
3056,0,27.16869237,82.82174967
3057,0,27.18162811,83.02953
3058,0,27.12045284,82.80719696
3059,0,27.13823948,82.98048198
3060,0,27.15791259,82.78860184
3061,0,27.21261999,82.98209895
3062,0,27.11991385,83.03006899
3063,0,27.22313027,82.92307964
3064,0,27.23606601,82.92388812
3065,0,27.17408226,82.98021249
3066,0,27.22474724,82.91445581
3067,0,27.21369796,82.97670906
3068,0,27.19806728,82.93871032
3069,0,27.11048154,82.77755256
3070,0,27.14416836,82.98748884
3071,0,27.0972763,82.82336664
3072,0,27.14605482,82.88777584
3073,0,27.03583154,82.96080888
3074,0,27.21881836,82.93628487
3075,0,27.17623822,82.98425491
3076,0,27.23256259,82.90637097
3077,0,27.19591132,82.85355003
3078,0,27.18971295,82.87079769
3079,0,27.12449526,82.82094119
3080,0,27.21315898,82.9796735
3081,0,27.16438046,82.84762115
3082,0,27.11371547,83.06752873
3083,0,27.08946096,82.86702476
3084,0,27.10832558,82.76677278
3085,0,27.15117522,82.88454191
3086,0,27.20022324,82.93682386
3087,0,27.13177161,83.10822242
3088,0,27.17381277,82.82417512
3089,0,27.12665121,83.11549877
3090,0,27.17138731,82.82633108
3091,0,27.25493064,82.96539029
3092,0,27.1026662,82.90933541
3093,0,27.17812468,83.02764353
3094,0,27.13123262,83.10444949
3095,0,27.20749959,82.90071158
3096,0,27.16761439,82.81959371
3097,0,27.23795248,82.92927801
3098,0,27.20615212,82.95811393
3099,0,27.23337107,82.9101439
3100,0,27.15656511,82.82174967
3101,0,27.1471328,82.97643956
3102,0,27.15252269,83.11118686
3103,0,27.14335988,82.98533288
3104,0,27.03313659,82.94733415
3105,0,27.24442035,82.97347512
3106,0,27.11129002,83.09447819
3107,0,27.17839417,82.81096989
3108,0,27.1571041,82.90825743
3109,0,27.17435175,82.98587187
3110,0,27.14955825,82.97563108
3111,0,27.16761439,82.80153758
3112,0,27.03044165,82.94517819
3113,0,27.10347468,83.09690364
3114,0,27.19240789,82.85786195
3115,0,27.15063623,82.82471411
