      station_name       station_id  water_level (in m)        lat       long
27          TILOLI  253551074184801                6.70  25.597500  74.313333





      station_name       station_id  water_level (in m)        lat       long
0         AMARWASI  254315075211501                5.87  25.720833  75.354167
1     BANERAMATAJI  252915074420001               16.72  25.487500  74.700000
2          BARASNI  254530074280001               11.04  25.758333  74.466667
3            BIGOD  251440075023001               10.27  25.244444  75.041667
4          BIJOLIA  251012075192201                7.43  25.170000  75.322778
5           BORANI  254100075200001               15.12  25.683333  75.333333
6          DEVARIA  251700074093001               20.96  25.283333  74.158333
7           GAGEDA  255200074330001               14.92  25.866667  74.550000
8        GANGAPUR1  251300074153501               23.40  25.216667  74.259722
9       GULABPURA1  253820075065501               20.54  25.638889  75.115278
10       HAMIRGARH  251050074345001               12.98  25.180556  74.580556
11        JAHAJPUR  253715075163001               13.84  25.620833  75.275000
12      JIWANLIYAN  253056074332801               11.09  25.515556  74.557778
13    KANCHAN-KALA  254520074542001                8.21  25.755556  74.905556
14          Karera  253100074160001               20.60  25.516667  74.266667
15        KODUKOTA  252230074463001                9.86  25.375000  74.775000
16          KOTARI  252350074533001               12.21  25.397222  74.891667
17     MANDAPIA RS  251610074381501               14.11  25.269444  74.637500
18        NANGPURA  252715074111501               21.06  25.454167  74.187500
19          PAROLI  253104075053001                5.83  25.517778  75.091667
20       PITAKHERA  252226074063001               14.13  25.373889  74.108333
21      RAILA ROAD  253800074360001               16.06  25.633333  74.600000
22       SALAWATIA  250650075154001               23.40  25.113889  75.261111
23        SAWAIPUR  251825074520001               16.68  25.306944  74.866667
24          SOPURA  253615074540001                9.62  25.604167  74.900000
25  Taswaria Khurd  253340074480001               19.69  25.561111  74.800000
26          TILOLI  253551074184801                6.68  25.597500  74.313333












      station_name       station_id  water_level (in m)        lat       long
0         AMARWASI  254315075211501                3.41  25.720833  75.354167
1     BANERAMATAJI  252915074420001               14.93  25.487500  74.700000
2          BARASNI  254530074280001               13.00  25.758333  74.466667
3            BIGOD  251440075023001                4.55  25.244444  75.041667
4          BIJOLIA  251012075192201               13.75  25.170000  75.322778
5           BORANI  254100075200001               10.01  25.683333  75.333333
6          DEVARIA  251700074093001                8.94  25.283333  74.158333
7           GAGEDA  255200074330001                6.86  25.866667  74.550000
8        GANGAPUR1  251300074153501               11.11  25.216667  74.259722
9        GULABPURA  255400074410001               16.41  25.900000  74.683333
10      GULABPURA1  253820075065501               11.88  25.638889  75.115278
11       HAMIRGARH  251050074345001               16.41  25.180556  74.580556
12        JAHAJPUR  253715075163001               15.36  25.620833  75.275000
13      JIWANLIYAN  253056074332801                5.93  25.515556  74.557778
14    KANCHAN-KALA  254520074542001                6.28  25.755556  74.905556
15          Karera  253100074160001               19.80  25.516667  74.266667
16        KODUKOTA  252230074463001               21.25  25.375000  74.775000
17          KOTARI  252350074533001                9.20  25.397222  74.891667
18     MANDALGARH1  251700075053801               16.42  25.283333  75.093889
19     MANDAPIA RS  251610074381501                6.90  25.269444  74.637500
20        NANGPURA  252715074111501               24.45  25.454167  74.187500
21          PAROLI  253104075053001                3.92  25.517778  75.091667
22       PITAKHERA  252226074063001                8.68  25.373889  74.108333
23      RAILA ROAD  253800074360001                6.45  25.633333  74.600000
24       SALAWATIA  250650075154001               17.50  25.113889  75.261111
25        SAWAIPUR  251825074520001               14.05  25.306944  74.866667
26          SOPURA  253615074540001                7.02  25.604167  74.900000
27  Taswaria Khurd  253340074480001               12.49  25.561111  74.800000
28          TILOLI  253551074184801               14.11  25.597500  74.313333





      station_name       station_id  water_level (in m)        lat       long
0         AMARWASI  254315075211501                4.59  25.720833  75.354167
1     BANERAMATAJI  252915074420001               18.68  25.487500  74.700000
2          BARASNI  254530074280001               12.04  25.758333  74.466667
3            BIGOD  251440075023001                8.05  25.244444  75.041667
4          BIJOLIA  251012075192201               19.33  25.170000  75.322778
5           BORANI  254100075200001               11.31  25.683333  75.333333
6       Daulatgarh  253800074164501               11.10  25.633333  74.279167
7          DEVARIA  251700074093001                9.70  25.283333  74.158333
8           GAGEDA  255200074330001               10.88  25.866667  74.550000
9        GANGAPUR1  251300074153501               17.88  25.216667  74.259722
10       GULABPURA  255400074410001               15.15  25.900000  74.683333
11      GULABPURA1  253820075065501               11.48  25.638889  75.115278
