      station_name       station_id  water_level (in m)        lat       long
14    KANCHAN-KALA  254520074542001                1.83  25.755556  74.905556
15        KODUKOTA  252230074463001                4.44  25.375000  74.775000
16          KOTARI  252350074533001                5.89  25.397222  74.891667
17     MANDAPIA RS  251610074381501                5.76  25.269444  74.637500
18        NANGPURA  252715074111501               12.84  25.454167  74.187500
19          PAROLI  253104075053001                7.72  25.517778  75.091667
20       PITAKHERA  252226074063001                6.46  25.373889  74.108333
21      RAILA ROAD  253800074360001                4.50  25.633333  74.600000
22       SALAWATIA  250650075154001               13.99  25.113889  75.261111
23        SAWAIPUR  251825074520001               12.81  25.306944  74.866667
24          SOPURA  253615074540001                9.58  25.604167  74.900000
25         SUWANA1  252100074420001                5.05  25.350000  74.700000
26  Taswaria Khurd  253340074480001                8.06  25.561111  74.800000
27          TILOLI  253551074184801                0.01  25.597500  74.313333





      station_name       station_id  water_level (in m)        lat       long
0         AMARWASI  254315075211501                0.77  25.720833  75.354167
1           BADNOR  255000074170001                1.08  25.833333  74.283333
2     BANERAMATAJI  252915074420001               16.34  25.487500  74.700000
3          BARASNI  254530074280001               13.21  25.758333  74.466667
4            BIGOD  251440075023001                4.70  25.244444  75.041667
5          BIJOLIA  251012075192201                5.90  25.170000  75.322778
6           BORANI  254100075200001                7.82  25.683333  75.333333
7          DEVARIA  251700074093001               11.88  25.283333  74.158333
8           GAGEDA  255200074330001                7.52  25.866667  74.550000
9        GANGAPUR1  251300074153501               16.78  25.216667  74.259722
10       GULABPURA  255400074410001                2.15  25.900000  74.683333
11      GULABPURA1  253820075065501                4.23  25.638889  75.115278
12       HAMIRGARH  251050074345001                6.27  25.180556  74.580556
13        JAHAJPUR  253715075163001                6.85  25.620833  75.275000
14      JIWANLIYAN  253056074332801                5.30  25.515556  74.557778
15    KANCHAN-KALA  254520074542001                1.10  25.755556  74.905556
16          Karera  253100074160001               16.02  25.516667  74.266667
17        KODUKOTA  252230074463001                5.17  25.375000  74.775000
18          KOTARI  252350074533001                6.27  25.397222  74.891667
19     MANDAPIA RS  251610074381501                8.03  25.269444  74.637500
20        NANGPURA  252715074111501               18.86  25.454167  74.187500
21          PAROLI  253104075053001                1.85  25.517778  75.091667
22       PITAKHERA  252226074063001               13.00  25.373889  74.108333
23      RAILA ROAD  253800074360001               16.63  25.633333  74.600000
24       SALAWATIA  250650075154001               14.06  25.113889  75.261111
25        Sawaipur  251830074500001               17.83  25.308333  74.833333
26        SAWAIPUR  251825074520001               12.92  25.306944  74.866667
27          SOPURA  253615074540001                5.04  25.604167  74.900000
28  Taswaria Khurd  253340074480001                7.84  25.561111  74.800000
29          TILOLI  253551074184801                0.40  25.597500  74.313333





      station_name       station_id  water_level (in m)        lat       long
0         AMARWASI  254315075211501                3.38  25.720833  75.354167
1           BADNOR  255000074170001               13.98  25.833333  74.283333
2     BANERAMATAJI  252915074420001               17.60  25.487500  74.700000
3          BARASNI  254530074280001               16.43  25.758333  74.466667
4            BIGOD  251440075023001               10.00  25.244444  75.041667
5          BIJOLIA  251012075192201                7.06  25.170000  75.322778
6           BORANI  254100075200001               17.34  25.683333  75.333333
7          DEVARIA  251700074093001               16.60  25.283333  74.158333
8           GAGEDA  255200074330001               10.14  25.866667  74.550000
9        GANGAPUR1  251300074153501               18.44  25.216667  74.259722
10       GULABPURA  255400074410001               12.46  25.900000  74.683333
11      GULABPURA1  253820075065501               10.80  25.638889  75.115278
12       HAMIRGARH  251050074345001               12.99  25.180556  74.580556
13        JAHAJPUR  253715075163001                8.80  25.620833  75.275000
14      JIWANLIYAN  253056074332801               13.30  25.515556  74.557778
15    KANCHAN-KALA  254520074542001                5.01  25.755556  74.905556
16          Karera  253100074160001               18.90  25.516667  74.266667
17        KODUKOTA  252230074463001               10.10  25.375000  74.775000
18          KOTARI  252350074533001                8.62  25.397222  74.891667
19     MANDALGARH1  251700075053801                4.73  25.283333  75.093889
20     MANDAPIA RS  251610074381501               10.03  25.269444  74.637500
21        NANGPURA  252715074111501               20.68  25.454167  74.187500
22          PAROLI  253104075053001                4.53  25.517778  75.091667
23       PITAKHERA  252226074063001               14.59  25.373889  74.108333
24      RAILA ROAD  253800074360001               24.15  25.633333  74.600000
25       SALAWATIA  250650075154001               24.50  25.113889  75.261111
26        Sawaipur  251830074500001               18.50  25.308333  74.833333
27        SAWAIPUR  251825074520001               16.00  25.306944  74.866667
28          SOPURA  253615074540001                8.73  25.604167  74.900000
29  Taswaria Khurd  253340074480001               12.77  25.561111  74.800000
30          TILOLI  253551074184801               13.44  25.597500  74.313333





      station_name       station_id  water_level (in m)        lat       long
0         AMARWASI  254315075211501                0.93  25.720833  75.354167
1           BADNOR  255000074170001                1.26  25.833333  74.283333
2     BANERAMATAJI  252915074420001               16.21  25.487500  74.700000
3          BARASNI  254530074280001               12.76  25.758333  74.466667
4            BIGOD  251440075023001                4.20  25.244444  75.041667
5          BIJOLIA  251012075192201                3.33  25.170000  75.322778
6           BORANI  254100075200001                2.87  25.683333  75.333333
7          DEVARIA  251700074093001               11.80  25.283333  74.158333
8           GAGEDA  255200074330001                3.78  25.866667  74.550000
9        GANGAPUR1  251300074153501               15.36  25.216667  74.259722
10       GULABPURA  255400074410001                3.73  25.900000  74.683333
11      GULABPURA1  253820075065501                4.22  25.638889  75.115278
12       HAMIRGARH  251050074345001                6.41  25.180556  74.580556
13        JAHAJPUR  253715075163001                4.04  25.620833  75.275000
14      JIWANLIYAN  253056074332801                5.16  25.515556  74.557778
15    KANCHAN-KALA  254520074542001                0.78  25.755556  74.905556
16          Karera  253100074160001               12.27  25.516667  74.266667
17        KODUKOTA  252230074463001               18.25  25.375000  74.775000
18          KOTARI  252350074533001                5.93  25.397222  74.891667
19     MANDAPIA RS  251610074381501                7.70  25.269444  74.637500
20        NANGPURA  252715074111501               17.63  25.454167  74.187500
21          PAROLI  253104075053001                1.90  25.517778  75.091667
22       PITAKHERA  252226074063001               13.03  25.373889  74.108333
23      RAILA ROAD  253800074360001               15.15  25.633333  74.600000
24       SALAWATIA  250650075154001               13.98  25.113889  75.261111
25        SAWAIPUR  251825074520001               12.10  25.306944  74.866667
26          SOPURA  253615074540001                6.20  25.604167  74.900000
27  Taswaria Khurd  253340074480001                7.75  25.561111  74.800000
28          TILOLI  253551074184801                0.45  25.597500  74.313333












      station_name       station_id  water_level (in m)        lat       long
0         AMARWASI  254315075211501                1.19  25.720833  75.354167
1           BADNOR  255000074170001                0.72  25.833333  74.283333
2     BANERAMATAJI  252915074420001               11.30  25.487500  74.700000
3          BARASNI  254530074280001                3.38  25.758333  74.466667
4            BIGOD  251440075023001                7.00  25.244444  75.041667
5          BIJOLIA  251012075192201                3.65  25.170000  75.322778
6           BORANI  254100075200001               12.99  25.683333  75.333333
7        Dahimatha  253140074180301               23.23  25.527778  74.300833
8          DEVARIA  251700074093001               15.85  25.283333  74.158333
9           GAGEDA  255200074330001                4.06  25.866667  74.550000
10       GANGAPUR1  251300074153501                5.38  25.216667  74.259722
11       GULABPURA  255400074410001                3.33  25.900000  74.683333
12      GULABPURA1  253820075065501                9.00  25.638889  75.115278
13       HAMIRGARH  251050074345001               13.72  25.180556  74.580556
14        JAHAJPUR  253715075163001                4.30  25.620833  75.275000
15      JIWANLIYAN  253056074332801                6.27  25.515556  74.557778
16    KANCHAN-KALA  254520074542001                0.70  25.755556  74.905556
17          Karera  253100074160001               15.44  25.516667  74.266667
18        KODUKOTA  252230074463001                2.85  25.375000  74.775000
19          KOTARI  252350074533001                7.19  25.397222  74.891667
20         Ladpura  250915075071701                4.91  25.154167  75.121389
21     MANDAPIA RS  251610074381501                7.66  25.269444  74.637500
22        NANGPURA  252715074111501               13.08  25.454167  74.187500
23          PAROLI  253104075053001                1.20  25.517778  75.091667
24       PITAKHERA  252226074063001                2.73  25.373889  74.108333
25      RAILA ROAD  253800074360001                5.99  25.633333  74.600000
26       SALAWATIA  250650075154001               17.73  25.113889  75.261111
27        SAWAIPUR  251825074520001               11.80  25.306944  74.866667
28          SOPURA  253615074540001                4.60  25.604167  74.900000
29  Taswaria Khurd  253340074480001                8.47  25.561111  74.800000
30          TILOLI  253551074184801                0.05  25.597500  74.313333





      station_name       station_id  water_level (in m)        lat       long
0         AMARWASI  254315075211501                0.94  25.720833  75.354167
1           BADNOR  255000074170001                1.38  25.833333  74.283333
2     BANERAMATAJI  252915074420001                9.05  25.487500  74.700000
3          BARASNI  254530074280001                4.36  25.758333  74.466667
4            BIGOD  251440075023001                3.15  25.244444  75.041667
5          BIJOLIA  251012075192201                1.98  25.170000  75.322778
6           BORANI  254100075200001                3.89  25.683333  75.333333
7          DEVARIA  251700074093001               16.14  25.283333  74.158333
8           GAGEDA  255200074330001                5.54  25.866667  74.550000
9        GANGAPUR1  251300074153501                7.48  25.216667  74.259722
10       GULABPURA  255400074410001                2.46  25.900000  74.683333
11      GULABPURA1  253820075065501                7.40  25.638889  75.115278
12       HAMIRGARH  251050074345001               10.99  25.180556  74.580556
13        JAHAJPUR  253715075163001                4.10  25.620833  75.275000
14      JIWANLIYAN  253056074332801                7.90  25.515556  74.557778
15    KANCHAN-KALA  254520074542001                1.70  25.755556  74.905556
16          Karera  253100074160001               13.80  25.516667  74.266667
17        KODUKOTA  252230074463001                2.45  25.375000  74.775000
18          KOTARI  252350074533001                5.12  25.397222  74.891667
19     MANDAPIA RS  251610074381501                4.60  25.269444  74.637500
20        NANGPURA  252715074111501               14.88  25.454167  74.187500
21          PAROLI  253104075053001                0.80  25.517778  75.091667
22       PITAKHERA  252226074063001                3.60  25.373889  74.108333
23      RAILA ROAD  253800074360001                4.55  25.633333  74.600000
24       SALAWATIA  250650075154001                7.20  25.113889  75.261111
25        SAWAIPUR  251825074520001                6.73  25.306944  74.866667
26          SOPURA  253615074540001                3.33  25.604167  74.900000
27  Taswaria Khurd  253340074480001                5.95  25.561111  74.800000
28          TILOLI  253551074184801                0.60  25.597500  74.313333





      station_name       station_id  water_level (in m)        lat       long
0         AMARWASI  254315075211501                3.40  25.720833  75.354167
1     BANERAMATAJI  252915074420001               18.30  25.487500  74.700000
2          BARASNI  254530074280001               15.68  25.758333  74.466667
3            BIGOD  251440075023001               10.20  25.244444  75.041667
4          BIJOLIA  251012075192201                8.13  25.170000  75.322778
5           BORANI  254100075200001               17.49  25.683333  75.333333
6          DEVARIA  251700074093001                9.50  25.283333  74.158333
7        GANGAPUR1  251300074153501               14.58  25.216667  74.259722
8        GULABPURA  255400074410001                8.46  25.900000  74.683333
9       GULABPURA1  253820075065501                8.30  25.638889  75.115278
10       HAMIRGARH  251050074345001                7.49  25.180556  74.580556
11        JAHAJPUR  253715075163001               14.25  25.620833  75.275000
12          Karera  253100074160001               20.20  25.516667  74.266667
13        KODUKOTA  252230074463001               10.19  25.375000  74.775000
14          KOTARI  252350074533001               10.87  25.397222  74.891667
15     MANDAPIA RS  251610074381501                8.00  25.269444  74.637500
16        NANGPURA  252715074111501               12.38  25.454167  74.187500
17          PAROLI  253104075053001                4.90  25.517778  75.091667
18      RAILA ROAD  253800074360001               19.15  25.633333  74.600000
19       SALAWATIA  250650075154001               15.60  25.113889  75.261111
20        Sawaipur  251830074500001               21.60  25.308333  74.833333
21        SAWAIPUR  251825074520001                8.55  25.306944  74.866667
22          SOPURA  253615074540001                8.68  25.604167  74.900000
23  Taswaria Khurd  253340074480001               12.68  25.561111  74.800000
24          TILOLI  253551074184801               13.55  25.597500  74.313333





      station_name       station_id  water_level (in m)        lat       long
0         AMARWASI  254315075211501                1.24  25.720833  75.354167
1           BADNOR  255000074170001                2.08  25.833333  74.283333
2          BARASNI  254530074280001                6.90  25.758333  74.466667
3            BIGOD  251440075023001                4.90  25.244444  75.041667
4          BIJOLIA  251012075192201                5.39  25.170000  75.322778
5           BORANI  254100075200001                8.79  25.683333  75.333333
6          DEVARIA  251700074093001                7.37  25.283333  74.158333
7           GAGEDA  255200074330001                7.48  25.866667  74.550000
8        GANGAPUR1  251300074153501                9.58  25.216667  74.259722
9        GULABPURA  255400074410001                2.01  25.900000  74.683333
10      GULABPURA1  253820075065501                7.40  25.638889  75.115278
11       HAMIRGARH  251050074345001               11.59  25.180556  74.580556
12        JAHAJPUR  253715075163001                3.21  25.620833  75.275000
13      JIWANLIYAN  253056074332801                6.58  25.515556  74.557778
14    KANCHAN-KALA  254520074542001                1.98  25.755556  74.905556
15        KODUKOTA  252230074463001                2.76  25.375000  74.775000
16          KOTARI  252350074533001                7.28  25.397222  74.891667
17     MANDAPIA RS  251610074381501                6.23  25.269444  74.637500
18        NANGPURA  252715074111501               11.38  25.454167  74.187500
19          PAROLI  253104075053001                2.10  25.517778  75.091667
20       PITAKHERA  252226074063001               10.80  25.373889  74.108333
21      RAILA ROAD  253800074360001                8.35  25.633333  74.600000
22       SALAWATIA  250650075154001               20.30  25.113889  75.261111
23        SAWAIPUR  251825074520001               12.16  25.306944  74.866667
24          SOPURA  253615074540001                8.78  25.604167  74.900000
25         SUWANA1  252100074420001                5.21  25.350000  74.700000
26  Taswaria Khurd  253340074480001               12.55  25.561111  74.800000
27          TILOLI  253551074184801                0.18  25.597500  74.313333





      station_name       station_id  water_level (in m)        lat       long
0         AMARWASI  254315075211501                1.69  25.720833  75.354167
1           BADNOR  255000074170001                1.39  25.833333  74.283333
2     BANERAMATAJI  252915074420001               12.88  25.487500  74.700000
3          BARASNI  254530074280001                7.58  25.758333  74.466667
4            BIGOD  251440075023001                6.31  25.244444  75.041667
5          BIJOLIA  251012075192201                4.79  25.170000  75.322778
6           BORANI  254100075200001               10.79  25.683333  75.333333
7        Dahimatha  253140074180301               23.23  25.527778  74.300833
8          DEVARIA  251700074093001               12.22  25.283333  74.158333
9           GAGEDA  255200074330001                5.69  25.866667  74.550000
10       GANGAPUR1  251300074153501                9.26  25.216667  74.259722
11       GULABPURA  255400074410001                4.07  25.900000  74.683333
12      GULABPURA1  253820075065501                8.03  25.638889  75.115278
13       HAMIRGARH  251050074345001               10.95  25.180556  74.580556
14        JAHAJPUR  253715075163001                6.47  25.620833  75.275000
15      JIWANLIYAN  253056074332801                6.92  25.515556  74.557778
16    KANCHAN-KALA  254520074542001                1.46  25.755556  74.905556
17          Karera  253100074160001               16.48  25.516667  74.266667
18        KODUKOTA  252230074463001                4.56  25.375000  74.775000
19          KOTARI  252350074533001                7.62  25.397222  74.891667
20         Ladpura  250915075071701                4.91  25.154167  75.121389
21     MANDAPIA RS  251610074381501                6.62  25.269444  74.637500
22        NANGPURA  252715074111501               12.93  25.454167  74.187500
23          PAROLI  253104075053001                2.25  25.517778  75.091667
24       PITAKHERA  252226074063001                5.71  25.373889  74.108333
25      RAILA ROAD  253800074360001                9.51  25.633333  74.600000
26       SALAWATIA  250650075154001               15.21  25.113889  75.261111
27        Sawaipur  251830074500001               21.60  25.308333  74.833333
28        SAWAIPUR  251825074520001                9.81  25.306944  74.866667
29          SOPURA  253615074540001                6.35  25.604167  74.900000
30         SUWANA1  252100074420001                5.21  25.350000  74.700000
31  Taswaria Khurd  253340074480001                9.91  25.561111  74.800000
32          TILOLI  253551074184801                3.60  25.597500  74.313333












      station_name       station_id  water_level (in m)        lat       long
0         AMARWASI  254315075211501                0.99  25.720833  75.354167
1           BADNOR  255000074170001                6.13  25.833333  74.283333
2     BANERAMATAJI  252915074420001               14.80  25.487500  74.700000
3          BARASNI  254530074280001               14.58  25.758333  74.466667
4            BIGOD  251440075023001                3.30  25.244444  75.041667
5          BIJOLIA  251012075192201                4.03  25.170000  75.322778
6           BORANI  254100075200001               16.49  25.683333  75.333333
7        Dahimatha  253140074180301               17.25  25.527778  74.300833
8       Daulatgarh  253800074164501                3.00  25.633333  74.279167
9          DEVARIA  251700074093001                7.40  25.283333  74.158333
10          GAGEDA  255200074330001                8.59  25.866667  74.550000
11       GANGAPUR1  251300074153501                5.48  25.216667  74.259722
12       GULABPURA  255400074410001               13.31  25.900000  74.683333
13      GULABPURA1  253820075065501                7.20  25.638889  75.115278
14       HAMIRGARH  251050074345001                2.09  25.180556  74.580556
15        JAHAJPUR  253715075163001                3.60  25.620833  75.275000
16      JIWANLIYAN  253056074332801                8.50  25.515556  74.557778
17    KANCHAN-KALA  254520074542001                3.80  25.755556  74.905556
18          Karera  253100074160001               20.15  25.516667  74.266667
19        KODUKOTA  252230074463001                4.00  25.375000  74.775000
20          KOTARI  252350074533001                6.57  25.397222  74.891667
21         Ladpura  250915075071701                5.30  25.154167  75.121389
22     MANDALGARH1  251700075053801                8.00  25.283333  75.093889
23     MANDAPIA RS  251610074381501                6.70  25.269444  74.637500
24        NANGPURA  252715074111501               20.28  25.454167  74.187500
25          PAROLI  253104075053001                2.00  25.517778  75.091667
26       PITAKHERA  252226074063001               13.70  25.373889  74.108333
27      RAILA ROAD  253800074360001                7.55  25.633333  74.600000
28          Raipur  252413074094001                6.00  25.403611  74.161111
29       SALAWATIA  250650075154001               16.00  25.113889  75.261111
30        SAWAIPUR  251825074520001                9.35  25.306944  74.866667
31          SOPURA  253615074540001                8.33  25.604167  74.900000
32         SUWANA1  252100074420001               17.20  25.350000  74.700000
33  Taswaria Khurd  253340074480001               10.45  25.561111  74.800000
34          TILOLI  253551074184801                2.15  25.597500  74.313333





      station_name       station_id  water_level (in m)        lat       long
0         AMARWASI  254315075211501                1.14  25.720833  75.354167
1           BADNOR  255000074170001                8.37  25.833333  74.283333
2     BANERAMATAJI  252915074420001               11.12  25.487500  74.700000
3          BARASNI  254530074280001               12.22  25.758333  74.466667
4      Bhagwanpura  252928075021201                7.90  25.491111  75.036667
5            BIGOD  251440075023001                5.68  25.244444  75.041667
6          BIJOLIA  251012075192201                3.54  25.170000  75.322778
7           BORANI  254100075200001                9.40  25.683333  75.333333
8        Dahimatha  253140074180301               16.14  25.527778  74.300833
9       Daulatgarh  253800074164501                5.77  25.633333  74.279167
10         DEVARIA  251700074093001               18.78  25.283333  74.158333
11          GAGEDA  255200074330001                7.18  25.866667  74.550000
12       GANGAPUR1  251300074153501                6.85  25.216667  74.259722
13       GULABPURA  255400074410001                6.42  25.900000  74.683333
14      GULABPURA1  253820075065501                8.76  25.638889  75.115278
15       HAMIRGARH  251050074345001                3.53  25.180556  74.580556
16        JAHAJPUR  253715075163001                4.08  25.620833  75.275000
17      JIWANLIYAN  253056074332801                8.14  25.515556  74.557778
18    KANCHAN-KALA  254520074542001                2.68  25.755556  74.905556
19          Karera  253100074160001               17.37  25.516667  74.266667
20        KODUKOTA  252230074463001                3.42  25.375000  74.775000
21          KOTARI  252350074533001                7.25  25.397222  74.891667
22         Ladpura  250915075071701                4.63  25.154167  75.121389
23     MANDALGARH1  251700075053801               11.00  25.283333  75.093889
24     MANDAPIA RS  251610074381501                8.51  25.269444  74.637500
25        NANGPURA  252715074111501               18.31  25.454167  74.187500
26          PAROLI  253104075053001                2.89  25.517778  75.091667
27       PITAKHERA  252226074063001               10.55  25.373889  74.108333
28      RAILA ROAD  253800074360001                7.51  25.633333  74.600000
29          Raipur  252413074094001                4.02  25.403611  74.161111
30       SALAWATIA  250650075154001               13.74  25.113889  75.261111
31        SAWAIPUR  251825074520001                9.43  25.306944  74.866667
32          SOPURA  253615074540001                5.75  25.604167  74.900000
33         SUWANA1  252100074420001                9.65  25.350000  74.700000
34  Taswaria Khurd  253340074480001                7.76  25.561111  74.800000
35          TILOLI  253551074184801                2.10  25.597500  74.313333





      station_name       station_id  water_level (in m)        lat       long
0         AMARWASI  254315075211501                0.93  25.720833  75.354167
1           BADNOR  255000074170001                9.10  25.833333  74.283333
2     BANERAMATAJI  252915074420001               11.80  25.487500  74.700000
3          BARASNI  254530074280001                8.00  25.758333  74.466667
4      Bhagwanpura  252928075021201                6.13  25.491111  75.036667
5            BIGOD  251440075023001                4.70  25.244444  75.041667
6          BIJOLIA  251012075192201                2.37  25.170000  75.322778
7           BORANI  254100075200001                5.16  25.683333  75.333333
8        Dahimatha  253140074180301               16.90  25.527778  74.300833
9       Daulatgarh  253800074164501                6.25  25.633333  74.279167
10         DEVARIA  251700074093001               24.40  25.283333  74.158333
11          GAGEDA  255200074330001                4.31  25.866667  74.550000
12       GANGAPUR1  251300074153501                5.81  25.216667  74.259722
13       GULABPURA  255400074410001                2.68  25.900000  74.683333
14      GULABPURA1  253820075065501               10.00  25.638889  75.115278
15       HAMIRGARH  251050074345001                4.27  25.180556  74.580556
16        JAHAJPUR  253715075163001                3.60  25.620833  75.275000
17      JIWANLIYAN  253056074332801                7.52  25.515556  74.557778
18    KANCHAN-KALA  254520074542001                0.12  25.755556  74.905556
19          Karera  253100074160001               15.03  25.516667  74.266667
20        KODUKOTA  252230074463001                1.38  25.375000  74.775000
21          KOTARI  252350074533001                6.70  25.397222  74.891667
22         Ladpura  250915075071701                2.80  25.154167  75.121389
23     MANDALGARH1  251700075053801                8.35  25.283333  75.093889
24     MANDAPIA RS  251610074381501                7.62  25.269444  74.637500
25        NANGPURA  252715074111501               13.11  25.454167  74.187500
26          PAROLI  253104075053001                3.22  25.517778  75.091667
27       PITAKHERA  252226074063001                4.63  25.373889  74.108333
28      RAILA ROAD  253800074360001                4.52  25.633333  74.600000
29          Raipur  252413074094001                2.70  25.403611  74.161111
30       SALAWATIA  250650075154001                7.07  25.113889  75.261111
31        SAWAIPUR  251825074520001                7.05  25.306944  74.866667
32          SOPURA  253615074540001                4.41  25.604167  74.900000
33         SUWANA1  252100074420001                5.98  25.350000  74.700000
34  Taswaria Khurd  253340074480001                4.37  25.561111  74.800000
35          TILOLI  253551074184801                0.91  25.597500  74.313333





      station_name       station_id  water_level (in m)        lat       long
0         AMARWASI  254315075211501                2.14  25.720833  75.354167
1           BADNOR  255000074170001                9.38  25.833333  74.283333
2     BANERAMATAJI  252915074420001               13.40  25.487500  74.700000
3          BARASNI  254530074280001               18.53  25.758333  74.466667
4      Bhagwanpura  252928075021201               11.30  25.491111  75.036667
5            BIGOD  251440075023001               10.10  25.244444  75.041667
6          BIJOLIA  251012075192201                5.33  25.170000  75.322778
7           BORANI  254100075200001               10.69  25.683333  75.333333
8        Dahimatha  253140074180301               17.37  25.527778  74.300833
9       Daulatgarh  253800074164501                7.56  25.633333  74.279167
10         DEVARIA  251700074093001               19.10  25.283333  74.158333
11          GAGEDA  255200074330001               11.41  25.866667  74.550000
12       GANGAPUR1  251300074153501               10.23  25.216667  74.259722
13       GULABPURA  255400074410001                7.01  25.900000  74.683333
14      GULABPURA1  253820075065501                7.90  25.638889  75.115278
15        JAHAJPUR  253715075163001                5.65  25.620833  75.275000
16      JIWANLIYAN  253056074332801               13.35  25.515556  74.557778
17    KANCHAN-KALA  254520074542001                6.76  25.755556  74.905556
18          Karera  253100074160001               20.40  25.516667  74.266667
19        KODUKOTA  252230074463001                6.89  25.375000  74.775000
20          KOTARI  252350074533001                8.97  25.397222  74.891667
21         Ladpura  250915075071701                6.50  25.154167  75.121389
22     MANDALGARH1  251700075053801               19.36  25.283333  75.093889
23     MANDAPIA RS  251610074381501               12.05  25.269444  74.637500
24        NANGPURA  252715074111501               26.40  25.454167  74.187500
25          PAROLI  253104075053001                3.45  25.517778  75.091667
26       PITAKHERA  252226074063001               19.16  25.373889  74.108333
27      RAILA ROAD  253800074360001               13.33  25.633333  74.600000
28       SALAWATIA  250650075154001               24.80  25.113889  75.261111
29        SAWAIPUR  251825074520001               14.21  25.306944  74.866667
30          SOPURA  253615074540001                5.86  25.604167  74.900000
31         SUWANA1  252100074420001                9.30  25.350000  74.700000
32  Taswaria Khurd  253340074480001               11.80  25.561111  74.800000
33          TILOLI  253551074184801                4.37  25.597500  74.313333





      station_name       station_id  water_level (in m)        lat       long
0         AMARWASI  254315075211501                0.49  25.720833  75.354167
1           BADNOR  255000074170001                8.88  25.833333  74.283333
2     BANERAMATAJI  252915074420001                4.48  25.487500  74.700000
3          BARASNI  254530074280001                7.78  25.758333  74.466667
4      Bhagwanpura  252928075021201                6.28  25.491111  75.036667
5            BIGOD  251440075023001                4.60  25.244444  75.041667
6          BIJOLIA  251012075192201                2.43  25.170000  75.322778
7           BORANI  254100075200001                5.24  25.683333  75.333333
8        Dahimatha  253140074180301               13.05  25.527778  74.300833
9       Daulatgarh  253800074164501                6.26  25.633333  74.279167
10         DEVARIA  251700074093001               24.20  25.283333  74.158333
11          GAGEDA  255200074330001                4.39  25.866667  74.550000
12       GANGAPUR1  251300074153501                5.88  25.216667  74.259722
13       GULABPURA  255400074410001                2.67  25.900000  74.683333
14      GULABPURA1  253820075065501                9.95  25.638889  75.115278
15       HAMIRGARH  251050074345001                4.24  25.180556  74.580556
16        JAHAJPUR  253715075163001                3.45  25.620833  75.275000
17      JIWANLIYAN  253056074332801                3.20  25.515556  74.557778
18    KANCHAN-KALA  254520074542001                0.05  25.755556  74.905556
19          Karera  253100074160001               13.90  25.516667  74.266667
20        KODUKOTA  252230074463001                1.40  25.375000  74.775000
21          KOTARI  252350074533001                6.77  25.397222  74.891667
22         Ladpura  250915075071701                3.90  25.154167  75.121389
23     MANDALGARH1  251700075053801                8.30  25.283333  75.093889
24     MANDAPIA RS  251610074381501                7.65  25.269444  74.637500
25        NANGPURA  252715074111501               13.43  25.454167  74.187500
26          PAROLI  253104075053001                2.90  25.517778  75.091667
27       PITAKHERA  252226074063001                4.70  25.373889  74.108333
28      RAILA ROAD  253800074360001                4.65  25.633333  74.600000
29          Raipur  252413074094001                3.35  25.403611  74.161111
30       SALAWATIA  250650075154001                7.10  25.113889  75.261111
31        SAWAIPUR  251825074520001                7.10  25.306944  74.866667
32          SOPURA  253615074540001                4.38  25.604167  74.900000
33         SUWANA1  252100074420001                6.10  25.350000  74.700000
34  Taswaria Khurd  253340074480001                4.40  25.561111  74.800000
35          TILOLI  253551074184801                0.95  25.597500  74.313333












Empty DataFrame
Columns: [station_name, station_id, water_level (in m), lat, long]
Index: []





      station_name       station_id  water_level (in m)        lat       long
0           BADNOR  255000074170001                5.98  25.833333  74.283333
1          BARASNI  254530074280001                9.73  25.758333  74.466667
2          BIJOLIA  251012075192201                2.53  25.170000  75.322778
3           BORANI  254100075200001               10.89  25.683333  75.333333
4        Dahimatha  253140074180301               10.80  25.527778  74.300833
5          DEVARIA  251700074093001               12.45  25.283333  74.158333
6           GAGEDA  255200074330001                7.24  25.866667  74.550000
7         Galodiya  251143074173901                6.50  25.195278  74.294167
8        GANGAPUR1  251300074153501                4.98  25.216667  74.259722
9       GULABPURA1  253820075065501                7.10  25.638889  75.115278
10        JAHAJPUR  253715075163001                6.50  25.620833  75.275000
11    KANCHAN-KALA  254520074542001                4.05  25.755556  74.905556
12          KOTARI  252350074533001                5.87  25.397222  74.891667
13         Ladpura  250915075071701                2.70  25.154167  75.121389
14     MANDAPIA RS  251610074381501                5.30  25.269444  74.637500
15        NANGPURA  252715074111501               11.93  25.454167  74.187500
16          PAROLI  253104075053001                2.85  25.517778  75.091667
17      RAILA ROAD  253800074360001                3.45  25.633333  74.600000
18          Raipur  252413074094001                1.00  25.403611  74.161111
19       SALAWATIA  250650075154001               16.40  25.113889  75.261111
20        SAWAIPUR  251825074520001                8.75  25.306944  74.866667
21          SOPURA  253615074540001                4.48  25.604167  74.900000
22         SUWANA1  252100074420001                4.95  25.350000  74.700000
23  Taswaria Khurd  253340074480001                5.85  25.561111  74.800000
24          TILOLI  253551074184801                2.95  25.597500  74.313333





      station_name       station_id  water_level (in m)        lat       long
0         AMARWASI  254315075211501                3.19  25.720833  75.354167
1           BADNOR  255000074170001                7.58  25.833333  74.283333
2     BANERAMATAJI  252915074420001               14.80  25.487500  74.700000
3          BARASNI  254530074280001               10.79  25.758333  74.466667
