idx,UID,district_coords,lat,lon,dist_closest_lin,dist_closest_river,dist_closest_road,dist_closest_upstream_forest,elevation,slope,flow_accumulation,proximity_water,drainage_density,HSG,CEC,PH,OC,idx_matched,UID_matched,district_coords_matched,lat_matched,lon_matched,dist_closest_lin_matched,dist_closest_river_matched,dist_closest_road_matched,dist_closest_upstream_forest_matched,elevation_matched,slope_matched,flow_accumulation_matched,proximity_water_matched,drainage_density_matched,HSG_matched,CEC_matched,PH_matched,OC_matched,ndvi_Kharif_2016,ndvi_Kharif_2018,ndvi_Kharif_2019,ndvi_Kharif_2020,ndvi_Kharif_2021,ndvi_Rabi_2016,ndvi_Rabi_2018,ndvi_Rabi_2019,ndvi_Rabi_2020,ndvi_Rabi_2021,ndvi_Zaid_2016,ndvi_Zaid_2018,ndvi_Zaid_2019,ndvi_Zaid_2020,ndvi_Zaid_2021
1144,1665,begusarai,25.5732589,85.8373288,-0.1547546354943159,-0.290002054140667,-0.5317500148632589,-0.4819587967885546,-0.7820838865974118,0.4870895273620017,2.016263486335117,1.6513854319686945,0.9165792290625192,13.0,-0.7310282065467952,-1.429850515330716,0.1872550496601511,6312,9231,jamui,24.95614182,86.33595906,-0.1322273403942656,1.275724111625845,0.9021612924872032,0.109001789334949,0.1619195004489486,-0.3651440132449044,-0.9528332996853937,-0.7580273330799059,1.9950667093091088,3.0,-1.794622897305855,-1.429850515330716,-1.1755232335749537,,,0.3761842473103272,0.3431082581039563,0.3989650288274168,,,0.2906953652801752,0.2371119489401358,0.3058218192621316,,,0.266859614368408,0.3264045569404138,0.2698718173710328
949,1374,purnia,25.9251812,87.651878,0.0409937689284702,-0.8241324033414977,-1.841505236972831,0.0009647956858656,-0.8060450977766302,0.2028945049835186,-0.9528332996853937,0.4986043595290484,-1.0454482089791506,13.0,-1.794622897305855,-0.0889652062603443,-1.1168385657027713,9084,12750,purba champaran,26.6194624,84.88392224,-1.2370948746617103,1.812318789655623,-1.537487622114534,0.1180818814779186,-0.29994555515928,0.2995207620805006,0.6371153785055804,-0.0376596805642863,0.4988419326243237,3.0,1.344582383514134,1.522115148824025,-0.8290421411757364,0.4324744105013147,0.3951786375201945,0.4105152258201413,0.3904136680066585,0.3903489833060377,0.3318997621495175,0.2801089439069339,0.2674894805705097,0.2982230968773365,0.3644629039175465,0.2905325040637493,0.2443353797931338,0.2734468512091589,0.2539346255362034,0.2986896405126328
950,1380,purnia,26.05500396,87.66519513,-1.699141989136974,-1.4248388347956755,-1.7974963443538063,1.2789334844267497,-0.7796828502942801,-0.2107763824113758,1.1139090691001254,1.3543981623151071,-0.6331116918955816,13.0,-1.794622897305855,-0.0889652062603443,-1.1168385657027713,7065,9835,araria,26.10068533,87.17678217,-0.3192730575842443,-0.5854321047372467,1.5303641273002142,0.5065724752461352,-0.616489242761154,-0.3518588892940932,1.5484146104687715,-1.3009270561037956,-0.4619653107039767,13.0,0.3419394424762882,-0.3082697191233647,1.0538563588672138,0.3923830373327274,0.4041331721112682,0.4256112504155487,0.4527965600663114,0.4217869133827175,0.3880559357699591,0.3811020545367496,0.3806713904866221,0.3760692329727773,0.3783027250732766,0.3918950232320017,0.4063336054031814,0.4277684475907328,0.3698509776923576,0.4275753246787483
952,1382,purnia,25.96265077,87.69819646,1.251219412023606e-05,-0.9664544392593024,-2.0341069941381464,0.6374091298334118,-0.8300901036789191,-0.8923399298359318,-0.9528332996853937,1.538307389802632,-0.777324424342629,13.0,-1.794622897305855,-0.0889652062603443,-1.1168385657027713,4787,7000,araria,26.38958352,87.43819192,-0.8494014868324091,0.3429197823391161,-0.1822787304561462,0.2760813991410749,-0.4851539857201006,-0.2562489641212715,-0.2215186852153114,-0.5003952107950775,0.3576018009653092,13.0,-1.794622897305855,-0.0889652062603443,-1.1168385657027713,0.3925584453397787,0.3938604926379703,0.4128482942781956,0.4331732206724158,0.3991794991250857,0.3400006564043241,0.334611745276113,0.3851195038019127,0.3225512692473693,0.3565924440297376,0.3212331100119442,0.3639268011748618,0.3964496058356466,0.3269257812679633,0.3680365921323558
953,1383,purnia,25.9601009,87.69509212,0.0047026522223967,-1.0100252993727137,-1.0368094474765637,0.3842543705363926,-0.8698143670320854,0.4144918469267043,-0.9528332996853937,1.63786525751671,-1.055458553050792,13.0,-1.794622897305855,-0.0889652062603443,-1.1168385657027713,5955,8697,basti,26.73534508,82.62906104,0.3108863475421702,-0.2861191903183423,0.2798293440250908,-1.9244251033777249,0.0143272635738655,0.7210882526212395,0.6371153785055804,-1.240978359208032,-0.2214656389875908,3.0,0.3419394424762882,-0.3082697191233647,1.0538563588672138,0.4162556520880085,0.4327082461774408,0.382511624659692,0.4381383079557781,0.4453427336501476,0.3779072907350574,0.3593108973902446,0.3409141124715584,0.3599766600273718,0.4027311644142038,0.3268303102102352,0.3561646684310127,0.4131561870692363,0.3000384966741825,0.3843079985429078
957,1387,purnia,25.9903053,87.77268693,0.0749731648753468,0.2947551760225484,-2.337045333750672,0.068794242237128,-0.834235228037225,-0.8327256903946613,-0.2215186852153114,0.7293675137611894,-0.1944478774719791,13.0,-1.794622897305855,-0.0889652062603443,-1.1168385657027713,5626,8215,basti,27.01346349,82.67514462,0.184103376603425,1.0075861693157435,0.3266299060134884,0.8586115558031128,0.0521900742250733,-0.0039107552923982,-0.9528332996853937,-1.025821412298139,0.3796929573191621,3.0,0.3419394424762882,-0.3082697191233647,1.0538563588672138,,,,,,,,,,,,,,,
960,1391,purnia,26.07333483,87.74191811,-0.3317134243397179,-0.2242444921453315,-1.070628244592511,0.5681978201968365,-0.757761496563833,-0.1438813141224544,1.5484146104687715,0.4414186339151875,-0.6403795899043825,13.0,-1.794622897305855,-0.0889652062603443,-1.1168385657027713,8865,12446,gopalganj,26.52136637,84.27324751,-0.2601700158618457,0.4754028271158818,-0.0666538863511812,-1.9244251033777249,-0.2786831139306275,-0.6774019414928448,-0.2215186852153114,0.1634668704137281,0.9885705179234467,3.0,1.344582383514134,1.522115148824025,-0.8290421411757364,,0.3213263154029846,,,,,0.3386657536029815,,,,,0.2378543317317962,,,
967,1399,purnia,25.8945152,87.8100985,0.2741521847290133,-0.5831056136336114,-1.64511300003785,0.3771307557849775,-0.9091724324111162,-0.2518844790529588,1.2903415514834276,0.6553164304449578,0.8372322321570748,3.0,-1.794622897305855,-0.0889652062603443,-1.1168385657027713,7561,10534,banka,24.64810951,86.80407116,-0.3736576388923645,0.490446932145979,2.0713557046901903,0.3542673925696949,2.4550735941147126,0.5716501075586452,-0.2215186852153114,-0.9895278574814086,1.2484346133056574,3.0,0.3419394424762882,-1.429850515330716,-1.1168385657027713,,,,,,,,,,,,,,,
968,1400,purnia,25.7541833,87.6621633,-0.8658129333965591,-0.3038810097559868,-2.0357813908055107,0.436289478164125,-0.9011991341959728,-0.3848351213385704,-0.2215186852153114,0.5470348105961615,-0.4435612515340368,3.0,0.3419394424762882,-0.3082697191233647,1.0538563588672138,7986,11134,gorakhpur,26.54885482,83.60112801,2.0264083723619075,-0.5837141028598213,-1.1120563889481647,0.620716022371723,-0.2130801109934165,0.1358682091245435,0.1855435884480947,-0.6851002626755633,0.7963404849983116,3.0,1.344582383514134,1.522115148824025,-0.8290421411757364,0.3311894235087882,,,0.3942353129386902,,0.3330973456652911,,,0.3512969017028808,,0.2872612074975212,,,0.3141033947467804,
976,1414,saharsa,25.80166068,86.45718972,-0.1346132602630908,-0.1164270798750071,-1.0809819691132223,-0.6747690886462748,-0.8625833987437823,-0.4481202952834449,1.9434174340622792,1.6423569401526006,-0.8168934750686574,13.0,0.3419394424762882,-0.3082697191233647,1.0538563588672138,5684,8294,kishanganj,26.36802396,88.24856213,-0.6250552598299783,-0.3293224130027033,0.7760668356556155,-1.9244251033777249,-0.3769695125342532,0.3406752077898695,-0.9528332996853937,-0.3314099266767457,0.3712419346186062,13.0,-1.794622897305855,-0.0889652062603443,-1.1168385657027713,0.3645802736282348,0.4049586427846774,,,,0.3640194833278656,0.3077353146693897,,,,0.3838613331317901,0.406774089137232,,,
